pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Reuniclus,122,move,1,Trick Room,80.4%,,,,,,,,
Reuniclus,122,move,2,Psychic,62.6%,,,,,,,,
Reuniclus,122,move,3,Protect,48.5%,,,,,,,,
Reuniclus,122,move,4,Focus Blast,41.4%,,,,,,,,
Reuniclus,122,move,5,Shadow Ball,35.0%,,,,,,,,
Reuniclus,122,move,6,Expanding Force,28.5%,,,,,,,,
Reuniclus,122,move,7,Energy Ball,19.4%,,,,,,,,
Reuniclus,122,move,8,Recover,11.4%,,,,,,,,
Reuniclus,122,move,9,Flash Cannon,8.6%,,,,,,,,
Reuniclus,122,move,10,Psychic Terrain,7.8%,,,,,,,,
Reuniclus,122,held_item,1,Life Orb,63.0%,,,,,,,,
Reuniclus,122,held_item,2,Leftovers,10.2%,,,,,,,,
Reuniclus,122,held_item,3,Sitrus Berry,8.2%,,,,,,,,
Reuniclus,122,held_item,4,Focus Sash,4.5%,,,,,,,,
Reuniclus,122,held_item,5,Colbur Berry,3.1%,,,,,,,,
Reuniclus,122,held_item,6,Mental Herb,3.0%,,,,,,,,
Reuniclus,122,held_item,7,Quick Claw,1.6%,,,,,,,,
Reuniclus,122,held_item,8,Twisted Spoon,1.1%,,,,,,,,
Reuniclus,122,held_item,9,Bright Powder,0.9%,,,,,,,,
Reuniclus,122,held_item,10,Light Clay,0.8%,,,,,,,,
Reuniclus,122,teammate,1,Farigiraf,,,,,,,,,
Reuniclus,122,teammate,2,Mawile,,,,,,,,,
Reuniclus,122,teammate,3,Torkoal,,,,,,,,,
Reuniclus,122,teammate,4,Sinistcha,,,,,,,,,
Reuniclus,122,teammate,5,Incineroar,,,,,,,,,
Reuniclus,122,teammate,6,Sylveon,,,,,,,,,
Reuniclus,122,teammate,7,Kingambit,,,,,,,,,
Reuniclus,122,teammate,8,Tyranitar,,,,,,,,,
Reuniclus,122,teammate,9,Primarina,,,,,,,,,
Reuniclus,122,teammate,10,Scrafty,,,,,,,,,
Reuniclus,122,stat_alignment,1,Quiet,37.7%,Sp. Atk,Speed,,,,,,
Reuniclus,122,stat_alignment,2,Modest,21.7%,Sp. Atk,Attack,,,,,,
Reuniclus,122,stat_alignment,3,Relaxed,5.7%,Defense,Speed,,,,,,
Reuniclus,122,stat_alignment,4,Bold,5.4%,Defense,Attack,,,,,,
Reuniclus,122,stat_alignment,5,Sassy,4.6%,Sp. Def,Speed,,,,,,
Reuniclus,122,stat_alignment,6,Calm,2.0%,Sp. Def,Attack,,,,,,
Reuniclus,122,stat_alignment,7,Mild,0.5%,Sp. Atk,Defense,,,,,,
Reuniclus,122,stat_alignment,8,Serious,0.1%,,,,,,,,
Reuniclus,122,stat_alignment,9,Brave,0.1%,Attack,Speed,,,,,,
Reuniclus,122,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Reuniclus,122,stat_points,1,,25.1%,,,32,0,2,32,0,0
Reuniclus,122,stat_points,2,,11.1%,,,32,0,0,32,2,0
Reuniclus,122,stat_points,3,,3.5%,,,2,0,32,32,0,0
Reuniclus,122,stat_points,4,,3.3%,,,0,0,32,32,2,0
Reuniclus,122,stat_points,5,,2.8%,,,27,0,7,32,0,0
Reuniclus,122,stat_points,6,,2.2%,,,2,0,0,32,32,0
Reuniclus,122,stat_points,7,,1.8%,,,32,0,32,0,2,0
Reuniclus,122,stat_points,8,,1.7%,,,0,0,2,32,32,0
Reuniclus,122,stat_points,9,,1.7%,,,32,0,0,32,0,0
Reuniclus,122,stat_points,10,,1.5%,,,2,0,32,0,32,0
Reuniclus,122,stat_points,11,,1.5%,,,32,0,9,25,0,0
Reuniclus,122,stat_points,12,,1.4%,,,32,0,15,19,0,0
Reuniclus,122,ability,1,Magic Guard,73.2%,,,,,,,,
Reuniclus,122,ability,2,Regenerator,19.5%,,,,,,,,
Reuniclus,122,ability,3,Overcoat,7.3%,,,,,,,,
