pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Roserade,191,move,1,Sludge Bomb,92.1%,,,,,,,,
Roserade,191,move,2,Protect,48.2%,,,,,,,,
Roserade,191,move,3,Energy Ball,46.0%,,,,,,,,
Roserade,191,move,4,Dazzling Gleam,34.1%,,,,,,,,
Roserade,191,move,5,Giga Drain,29.6%,,,,,,,,
Roserade,191,move,6,Sleep Powder,29.0%,,,,,,,,
Roserade,191,move,7,Shadow Ball,28.9%,,,,,,,,
Roserade,191,move,8,Leaf Storm,22.9%,,,,,,,,
Roserade,191,move,9,Extrasensory,18.5%,,,,,,,,
Roserade,191,move,10,Weather Ball,8.3%,,,,,,,,
Roserade,191,held_item,1,Choice Scarf,31.7%,,,,,,,,
Roserade,191,held_item,2,Focus Sash,15.5%,,,,,,,,
Roserade,191,held_item,3,Life Orb,9.6%,,,,,,,,
Roserade,191,held_item,4,Wide Lens,6.6%,,,,,,,,
Roserade,191,held_item,5,Wise Glasses,5.8%,,,,,,,,
Roserade,191,held_item,6,Quick Claw,5.7%,,,,,,,,
Roserade,191,held_item,7,Big Root,4.6%,,,,,,,,
Roserade,191,held_item,8,Bright Powder,4.4%,,,,,,,,
Roserade,191,held_item,9,Sitrus Berry,2.8%,,,,,,,,
Roserade,191,held_item,10,Expert Belt,2.8%,,,,,,,,
Roserade,191,teammate,1,Milotic,,,,,,,,,
Roserade,191,teammate,2,Garchomp,,,,,,,,,
Roserade,191,teammate,3,Whimsicott,,,,,,,,,
Roserade,191,teammate,4,Raichu,,,,,,,,,
Roserade,191,teammate,5,Delphox,,,,,,,,,
Roserade,191,teammate,6,Gardevoir,,,,,,,,,
Roserade,191,teammate,7,Sylveon,,,,,,,,,
Roserade,191,teammate,8,Tyranitar,,,,,,,,,
Roserade,191,teammate,9,Dragonite,,,,,,,,,
Roserade,191,teammate,10,Corviknight,,,,,,,,,
Roserade,191,stat_alignment,1,Modest,49.4%,Sp. Atk,Attack,,,,,,
Roserade,191,stat_alignment,2,Timid,34.9%,Speed,Attack,,,,,,
Roserade,191,stat_alignment,3,Quiet,9.4%,Sp. Atk,Speed,,,,,,
Roserade,191,stat_alignment,4,Bold,2.8%,Defense,Attack,,,,,,
Roserade,191,stat_alignment,5,Calm,2.8%,Sp. Def,Attack,,,,,,
Roserade,191,stat_alignment,6,Hasty,1.2%,Speed,Defense,,,,,,
Roserade,191,stat_alignment,7,Mild,1.2%,Sp. Atk,Defense,,,,,,
Roserade,191,stat_alignment,8,Naive,0.8%,Speed,Sp. Def,,,,,,
Roserade,191,stat_alignment,9,Adamant,0.4%,Attack,Sp. Atk,,,,,,
Roserade,191,stat_alignment,10,Rash,0.3%,Sp. Atk,Sp. Def,,,,,,
Roserade,191,stat_points,1,,44.1%,,,2,0,0,32,0,32
Roserade,191,stat_points,2,,11.0%,,,0,0,2,32,0,32
Roserade,191,stat_points,3,,10.0%,,,0,0,0,32,2,32
Roserade,191,stat_points,4,,3.3%,,,2,0,0,32,32,0
Roserade,191,stat_points,5,,3.2%,,,0,0,0,32,0,32
Roserade,191,stat_points,6,,2.3%,,,32,0,0,32,2,0
Roserade,191,stat_points,7,,1.4%,,,0,0,1,32,2,31
Roserade,191,stat_points,8,,1.2%,,,17,0,32,15,2,0
Roserade,191,stat_points,9,,1.1%,,,1,0,0,32,1,32
Roserade,191,stat_points,10,,1.0%,,,14,0,15,32,5,0
Roserade,191,stat_points,11,,1.0%,,,2,0,32,32,0,0
Roserade,191,stat_points,12,,0.8%,,,17,0,32,7,2,8
Roserade,191,ability,1,Poison Point,59.8%,,,,,,,,
Roserade,191,ability,2,Natural Cure,31.6%,,,,,,,,
Roserade,191,ability,3,Technician,8.7%,,,,,,,,
