pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Fan,212,move,1,Air Slash,83.5%,,,,,,,,
Rotom Fan,212,move,2,Thunderbolt,47.9%,,,,,,,,
Rotom Fan,212,move,3,Discharge,41.5%,,,,,,,,
Rotom Fan,212,move,4,Volt Switch,37.7%,,,,,,,,
Rotom Fan,212,move,5,Will-O-Wisp,37.4%,,,,,,,,
Rotom Fan,212,move,6,Protect,33.6%,,,,,,,,
Rotom Fan,212,move,7,Shadow Ball,19.7%,,,,,,,,
Rotom Fan,212,move,8,Electroweb,16.9%,,,,,,,,
Rotom Fan,212,move,9,Trick,10.4%,,,,,,,,
Rotom Fan,212,move,10,Thunder,9.6%,,,,,,,,
Rotom Fan,212,held_item,1,Choice Scarf,31.7%,,,,,,,,
Rotom Fan,212,held_item,2,Sitrus Berry,18.4%,,,,,,,,
Rotom Fan,212,held_item,3,Leftovers,9.2%,,,,,,,,
Rotom Fan,212,held_item,4,Life Orb,8.6%,,,,,,,,
Rotom Fan,212,held_item,5,Quick Claw,6.2%,,,,,,,,
Rotom Fan,212,held_item,6,Wise Glasses,5.7%,,,,,,,,
Rotom Fan,212,held_item,7,Expert Belt,5.3%,,,,,,,,
Rotom Fan,212,held_item,8,Focus Sash,3.6%,,,,,,,,
Rotom Fan,212,held_item,9,Magnet,3.0%,,,,,,,,
Rotom Fan,212,held_item,10,Light Clay,1.7%,,,,,,,,
Rotom Fan,212,teammate,1,Sceptile,,,,,,,,,
Rotom Fan,212,teammate,2,Garchomp,,,,,,,,,
Rotom Fan,212,teammate,3,Whimsicott,,,,,,,,,
Rotom Fan,212,teammate,4,Sneasler,,,,,,,,,
Rotom Fan,212,teammate,5,Swampert,,,,,,,,,
Rotom Fan,212,teammate,6,Pelipper,,,,,,,,,
Rotom Fan,212,teammate,7,Basculegion Male,,,,,,,,,
Rotom Fan,212,teammate,8,Archaludon,,,,,,,,,
Rotom Fan,212,teammate,9,Incineroar,,,,,,,,,
Rotom Fan,212,teammate,10,Sinistcha,,,,,,,,,
Rotom Fan,212,stat_alignment,1,Timid,40.9%,Speed,Attack,,,,,,
Rotom Fan,212,stat_alignment,2,Modest,37.9%,Sp. Atk,Attack,,,,,,
Rotom Fan,212,stat_alignment,3,Bold,9.9%,Defense,Attack,,,,,,
Rotom Fan,212,stat_alignment,4,Calm,3.8%,Sp. Def,Attack,,,,,,
Rotom Fan,212,stat_alignment,5,Sassy,3.1%,Sp. Def,Speed,,,,,,
Rotom Fan,212,stat_alignment,6,Quiet,1.9%,Sp. Atk,Speed,,,,,,
Rotom Fan,212,stat_alignment,7,Hasty,0.9%,Speed,Defense,,,,,,
Rotom Fan,212,stat_alignment,8,Serious,0.4%,,,,,,,,
Rotom Fan,212,stat_alignment,9,Mild,0.3%,Sp. Atk,Defense,,,,,,
Rotom Fan,212,stat_alignment,10,Gentle,0.3%,Sp. Def,Defense,,,,,,
Rotom Fan,212,stat_points,1,,22.2%,,,2,0,0,32,0,32
Rotom Fan,212,stat_points,2,,6.4%,,,0,0,2,32,0,32
Rotom Fan,212,stat_points,3,,6.4%,,,0,0,0,32,2,32
Rotom Fan,212,stat_points,4,,5.2%,,,32,0,0,32,0,2
Rotom Fan,212,stat_points,5,,3.5%,,,32,0,0,32,2,0
Rotom Fan,212,stat_points,6,,3.5%,,,32,0,2,32,0,0
Rotom Fan,212,stat_points,7,,3.4%,,,0,0,2,0,32,32
Rotom Fan,212,stat_points,8,,3.2%,,,0,0,2,32,32,0
Rotom Fan,212,stat_points,9,,3.1%,,,32,0,1,32,1,0
Rotom Fan,212,stat_points,10,,1.9%,,,17,0,2,15,0,32
Rotom Fan,212,stat_points,11,,1.7%,,,32,0,0,2,0,32
Rotom Fan,212,stat_points,12,,1.6%,,,0,0,2,20,18,26
Rotom Fan,212,ability,1,Levitate,100.0%,,,,,,,,
