pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Frost,125,move,1,Blizzard,98.3%,,,,,,,,
Rotom Frost,125,move,2,Thunderbolt,62.1%,,,,,,,,
Rotom Frost,125,move,3,Volt Switch,60.3%,,,,,,,,
Rotom Frost,125,move,4,Electroweb,38.3%,,,,,,,,
Rotom Frost,125,move,5,Protect,32.7%,,,,,,,,
Rotom Frost,125,move,6,Discharge,23.0%,,,,,,,,
Rotom Frost,125,move,7,Will-O-Wisp,21.1%,,,,,,,,
Rotom Frost,125,move,8,Trick,17.1%,,,,,,,,
Rotom Frost,125,move,9,Shadow Ball,9.2%,,,,,,,,
Rotom Frost,125,move,10,Helping Hand,7.8%,,,,,,,,
Rotom Frost,125,held_item,1,Choice Scarf,53.5%,,,,,,,,
Rotom Frost,125,held_item,2,Never-Melt Ice,9.3%,,,,,,,,
Rotom Frost,125,held_item,3,Sitrus Berry,8.0%,,,,,,,,
Rotom Frost,125,held_item,4,Leftovers,5.7%,,,,,,,,
Rotom Frost,125,held_item,5,Focus Sash,5.0%,,,,,,,,
Rotom Frost,125,held_item,6,Life Orb,4.3%,,,,,,,,
Rotom Frost,125,held_item,7,Magnet,2.8%,,,,,,,,
Rotom Frost,125,held_item,8,Quick Claw,2.8%,,,,,,,,
Rotom Frost,125,held_item,9,Wise Glasses,1.3%,,,,,,,,
Rotom Frost,125,held_item,10,Wide Lens,1.1%,,,,,,,,
Rotom Frost,125,teammate,1,Froslass,,,,,,,,,
Rotom Frost,125,teammate,2,Garchomp,,,,,,,,,
Rotom Frost,125,teammate,3,Sneasler,,,,,,,,,
Rotom Frost,125,teammate,4,Kingambit,,,,,,,,,
Rotom Frost,125,teammate,5,Incineroar,,,,,,,,,
Rotom Frost,125,teammate,6,Whimsicott,,,,,,,,,
Rotom Frost,125,teammate,7,Basculegion Male,,,,,,,,,
Rotom Frost,125,teammate,8,Talonflame,,,,,,,,,
Rotom Frost,125,teammate,9,Milotic,,,,,,,,,
Rotom Frost,125,teammate,10,Sceptile,,,,,,,,,
Rotom Frost,125,stat_alignment,1,Timid,48.7%,Speed,Attack,,,,,,
Rotom Frost,125,stat_alignment,2,Modest,42.0%,Sp. Atk,Attack,,,,,,
Rotom Frost,125,stat_alignment,3,Calm,2.9%,Sp. Def,Attack,,,,,,
Rotom Frost,125,stat_alignment,4,Quiet,2.6%,Sp. Atk,Speed,,,,,,
Rotom Frost,125,stat_alignment,5,Bold,1.6%,Defense,Attack,,,,,,
Rotom Frost,125,stat_alignment,6,Relaxed,0.6%,Defense,Speed,,,,,,
Rotom Frost,125,stat_alignment,7,Mild,0.4%,Sp. Atk,Defense,,,,,,
Rotom Frost,125,stat_alignment,8,Gentle,0.4%,Sp. Def,Defense,,,,,,
Rotom Frost,125,stat_alignment,9,Hasty,0.4%,Speed,Defense,,,,,,
Rotom Frost,125,stat_alignment,10,Sassy,0.3%,Sp. Def,Speed,,,,,,
Rotom Frost,125,stat_points,1,,42.0%,,,2,0,0,32,0,32
Rotom Frost,125,stat_points,2,,8.3%,,,0,0,0,32,2,32
Rotom Frost,125,stat_points,3,,6.8%,,,0,0,2,32,0,32
Rotom Frost,125,stat_points,4,,4.5%,,,32,0,9,25,0,0
Rotom Frost,125,stat_points,5,,2.9%,,,32,0,2,32,0,0
Rotom Frost,125,stat_points,6,,2.3%,,,32,0,0,32,0,2
Rotom Frost,125,stat_points,7,,2.3%,,,32,0,0,32,2,0
Rotom Frost,125,stat_points,8,,1.9%,,,0,0,0,32,0,32
Rotom Frost,125,stat_points,9,,1.4%,,,0,0,32,32,2,0
Rotom Frost,125,stat_points,10,,1.3%,,,32,0,0,0,2,32
Rotom Frost,125,stat_points,11,,1.3%,,,2,0,32,32,0,0
Rotom Frost,125,stat_points,12,,1.2%,,,0,0,0,32,32,2
Rotom Frost,125,ability,1,Levitate,100.0%,,,,,,,,
