pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Heat,50,move,1,Overheat,98.3%,,,,,,,,
Rotom Heat,50,move,2,Volt Switch,75.2%,,,,,,,,
Rotom Heat,50,move,3,Discharge,67.9%,,,,,,,,
Rotom Heat,50,move,4,Thunderbolt,31.7%,,,,,,,,
Rotom Heat,50,move,5,Will-O-Wisp,26.1%,,,,,,,,
Rotom Heat,50,move,6,Trick,25.9%,,,,,,,,
Rotom Heat,50,move,7,Electroweb,19.5%,,,,,,,,
Rotom Heat,50,move,8,Protect,14.8%,,,,,,,,
Rotom Heat,50,move,9,Shadow Ball,4.6%,,,,,,,,
Rotom Heat,50,move,10,Thunder,2.4%,,,,,,,,
Rotom Heat,50,held_item,1,Choice Scarf,75.1%,,,,,,,,
Rotom Heat,50,held_item,2,Sitrus Berry,9.9%,,,,,,,,
Rotom Heat,50,held_item,3,Leftovers,4.8%,,,,,,,,
Rotom Heat,50,held_item,4,White Herb,2.5%,,,,,,,,
Rotom Heat,50,held_item,5,Life Orb,1.7%,,,,,,,,
Rotom Heat,50,held_item,6,Magnet,1.0%,,,,,,,,
Rotom Heat,50,held_item,7,Passho Berry,1.0%,,,,,,,,
Rotom Heat,50,held_item,8,Focus Sash,0.7%,,,,,,,,
Rotom Heat,50,held_item,9,Wide Lens,0.7%,,,,,,,,
Rotom Heat,50,held_item,10,Quick Claw,0.4%,,,,,,,,
Rotom Heat,50,teammate,1,Sceptile,,,,,,,,,
Rotom Heat,50,teammate,2,Garchomp,,,,,,,,,
Rotom Heat,50,teammate,3,Basculegion Male,,,,,,,,,
Rotom Heat,50,teammate,5,Whimsicott,,,,,,,,,
Rotom Heat,50,teammate,6,Sneasler,,,,,,,,,
Rotom Heat,50,teammate,7,Floette,,,,,,,,,
Rotom Heat,50,teammate,8,Sylveon,,,,,,,,,
Rotom Heat,50,teammate,9,Sinistcha,,,,,,,,,
Rotom Heat,50,teammate,10,Kingambit,,,,,,,,,
Rotom Heat,50,stat_alignment,1,Timid,67.4%,Speed,Attack,,,,,,
Rotom Heat,50,stat_alignment,2,Modest,24.8%,Sp. Atk,Attack,,,,,,
Rotom Heat,50,stat_alignment,3,Bold,3.4%,Defense,Attack,,,,,,
Rotom Heat,50,stat_alignment,4,Calm,2.1%,Sp. Def,Attack,,,,,,
Rotom Heat,50,stat_alignment,5,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Rotom Heat,50,stat_alignment,6,Mild,0.3%,Sp. Atk,Defense,,,,,,
Rotom Heat,50,stat_alignment,7,Hasty,0.2%,Speed,Defense,,,,,,
Rotom Heat,50,stat_alignment,8,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Rotom Heat,50,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Rotom Heat,50,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Rotom Heat,50,stat_points,1,,49.7%,,,2,0,0,32,0,32
Rotom Heat,50,stat_points,2,,3.7%,,,0,0,0,32,2,32
Rotom Heat,50,stat_points,3,,3.6%,,,0,0,2,32,0,32
Rotom Heat,50,stat_points,4,,2.2%,,,9,0,0,32,0,25
Rotom Heat,50,stat_points,5,,2.0%,,,32,0,0,32,0,2
Rotom Heat,50,stat_points,6,,1.6%,,,8,0,0,32,0,26
Rotom Heat,50,stat_points,7,,1.4%,,,12,0,0,29,0,25
Rotom Heat,50,stat_points,8,,1.3%,,,0,0,0,32,0,32
Rotom Heat,50,stat_points,9,,1.3%,,,32,0,0,32,2,0
Rotom Heat,50,stat_points,10,,1.2%,,,32,0,2,32,0,0
Rotom Heat,50,stat_points,11,,0.9%,,,4,0,0,32,0,30
Rotom Heat,50,ability,1,Levitate,100.0%,,,,,,,,
