pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Mow,136,move,1,Leaf Storm,96.9%,,,,,,,,
Rotom Mow,136,move,2,Thunderbolt,51.5%,,,,,,,,
Rotom Mow,136,move,3,Will-O-Wisp,49.0%,,,,,,,,
Rotom Mow,136,move,4,Volt Switch,47.7%,,,,,,,,
Rotom Mow,136,move,5,Protect,43.0%,,,,,,,,
Rotom Mow,136,move,6,Discharge,26.5%,,,,,,,,
Rotom Mow,136,move,7,Electroweb,21.3%,,,,,,,,
Rotom Mow,136,move,8,Trick,16.9%,,,,,,,,
Rotom Mow,136,move,9,Shadow Ball,9.0%,,,,,,,,
Rotom Mow,136,move,10,Thunder,8.7%,,,,,,,,
Rotom Mow,136,held_item,1,Choice Scarf,32.0%,,,,,,,,
Rotom Mow,136,held_item,2,Sitrus Berry,25.2%,,,,,,,,
Rotom Mow,136,held_item,3,Leftovers,12.9%,,,,,,,,
Rotom Mow,136,held_item,4,White Herb,6.2%,,,,,,,,
Rotom Mow,136,held_item,5,Magnet,3.4%,,,,,,,,
Rotom Mow,136,held_item,6,Focus Sash,3.3%,,,,,,,,
Rotom Mow,136,held_item,7,Life Orb,3.2%,,,,,,,,
Rotom Mow,136,held_item,8,Wide Lens,3.0%,,,,,,,,
Rotom Mow,136,held_item,9,Occa Berry,1.6%,,,,,,,,
Rotom Mow,136,held_item,10,Expert Belt,1.6%,,,,,,,,
Rotom Mow,136,teammate,1,Garchomp,,,,,,,,,
Rotom Mow,136,teammate,2,Whimsicott,,,,,,,,,
Rotom Mow,136,teammate,3,Raichu,,,,,,,,,
Rotom Mow,136,teammate,4,Swampert,,,,,,,,,
Rotom Mow,136,teammate,5,Incineroar,,,,,,,,,
Rotom Mow,136,teammate,6,Pelipper,,,,,,,,,
Rotom Mow,136,teammate,7,Sneasler,,,,,,,,,
Rotom Mow,136,teammate,8,Aerodactyl,,,,,,,,,
Rotom Mow,136,teammate,9,Metagross,,,,,,,,,
Rotom Mow,136,teammate,10,Basculegion Male,,,,,,,,,
Rotom Mow,136,stat_alignment,1,Modest,44.2%,Sp. Atk,Attack,,,,,,
Rotom Mow,136,stat_alignment,2,Timid,28.6%,Speed,Attack,,,,,,
Rotom Mow,136,stat_alignment,3,Bold,16.0%,Defense,Attack,,,,,,
Rotom Mow,136,stat_alignment,4,Calm,5.8%,Sp. Def,Attack,,,,,,
Rotom Mow,136,stat_alignment,5,Quiet,2.8%,Sp. Atk,Speed,,,,,,
Rotom Mow,136,stat_alignment,6,Relaxed,1.2%,Defense,Speed,,,,,,
Rotom Mow,136,stat_alignment,7,Impish,0.3%,Defense,Sp. Atk,,,,,,
Rotom Mow,136,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Rotom Mow,136,stat_alignment,9,Hasty,0.3%,Speed,Defense,,,,,,
Rotom Mow,136,stat_alignment,10,Mild,0.2%,Sp. Atk,Defense,,,,,,
Rotom Mow,136,stat_points,1,,22.3%,,,2,0,0,32,0,32
Rotom Mow,136,stat_points,2,,6.2%,,,0,0,0,32,2,32
Rotom Mow,136,stat_points,3,,5.6%,,,32,0,23,2,1,8
Rotom Mow,136,stat_points,4,,3.5%,,,0,0,2,32,0,32
Rotom Mow,136,stat_points,5,,2.6%,,,32,0,0,32,0,2
Rotom Mow,136,stat_points,6,,2.3%,,,32,0,2,32,0,0
Rotom Mow,136,stat_points,7,,1.8%,,,32,0,0,32,2,0
Rotom Mow,136,stat_points,8,,1.6%,,,8,0,0,32,0,26
Rotom Mow,136,stat_points,9,,1.5%,,,2,0,32,32,0,0
Rotom Mow,136,stat_points,10,,1.5%,,,0,0,2,32,32,0
Rotom Mow,136,stat_points,11,,1.4%,,,0,0,32,32,2,0
Rotom Mow,136,stat_points,12,,1.4%,,,32,0,0,2,0,32
Rotom Mow,136,ability,1,Levitate,100.0%,,,,,,,,
