pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Rotom Wash,30,move,1,Hydro Pump,96.6%,,,,,,,,
Rotom Wash,30,move,2,Will-O-Wisp,69.6%,,,,,,,,
Rotom Wash,30,move,3,Thunderbolt,63.7%,,,,,,,,
Rotom Wash,30,move,4,Protect,47.2%,,,,,,,,
Rotom Wash,30,move,5,Volt Switch,43.3%,,,,,,,,
Rotom Wash,30,move,6,Electroweb,19.7%,,,,,,,,
Rotom Wash,30,move,7,Discharge,19.3%,,,,,,,,
Rotom Wash,30,move,8,Trick,9.0%,,,,,,,,
Rotom Wash,30,move,9,Light Screen,8.0%,,,,,,,,
Rotom Wash,30,move,10,Shadow Ball,3.8%,,,,,,,,
Rotom Wash,30,held_item,1,Leftovers,30.4%,,,,,,,,
Rotom Wash,30,held_item,2,Sitrus Berry,28.4%,,,,,,,,
Rotom Wash,30,held_item,3,Choice Scarf,26.2%,,,,,,,,
Rotom Wash,30,held_item,4,Magnet,3.5%,,,,,,,,
Rotom Wash,30,held_item,5,Wide Lens,2.8%,,,,,,,,
Rotom Wash,30,held_item,6,Life Orb,2.3%,,,,,,,,
Rotom Wash,30,held_item,7,Quick Claw,1.1%,,,,,,,,
Rotom Wash,30,held_item,8,Rindo Berry,0.8%,,,,,,,,
Rotom Wash,30,held_item,9,Mystic Water,0.6%,,,,,,,,
Rotom Wash,30,held_item,10,Light Clay,0.6%,,,,,,,,
Rotom Wash,30,teammate,1,Garchomp,,,,,,,,,
Rotom Wash,30,teammate,2,Whimsicott,,,,,,,,,
Rotom Wash,30,teammate,3,Incineroar,,,,,,,,,
Rotom Wash,30,teammate,4,Sneasler,,,,,,,,,
Rotom Wash,30,teammate,5,Sinistcha,,,,,,,,,
Rotom Wash,30,teammate,6,Metagross,,,,,,,,,
Rotom Wash,30,teammate,7,Kingambit,,,,,,,,,
Rotom Wash,30,teammate,8,Charizard,,,,,,,,,
Rotom Wash,30,teammate,9,Tyranitar,,,,,,,,,
Rotom Wash,30,teammate,10,Sylveon,,,,,,,,,
Rotom Wash,30,stat_alignment,1,Modest,42.9%,Sp. Atk,Attack,,,,,,
Rotom Wash,30,stat_alignment,2,Timid,23.8%,Speed,Attack,,,,,,
Rotom Wash,30,stat_alignment,3,Bold,18.8%,Defense,Attack,,,,,,
Rotom Wash,30,stat_alignment,4,Calm,10.6%,Sp. Def,Attack,,,,,,
Rotom Wash,30,stat_alignment,5,Quiet,1.8%,Sp. Atk,Speed,,,,,,
Rotom Wash,30,stat_alignment,6,Sassy,0.5%,Sp. Def,Speed,,,,,,
Rotom Wash,30,stat_alignment,7,Mild,0.5%,Sp. Atk,Defense,,,,,,
Rotom Wash,30,stat_alignment,8,Relaxed,0.4%,Defense,Speed,,,,,,
Rotom Wash,30,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Rotom Wash,30,stat_alignment,10,Gentle,0.2%,Sp. Def,Defense,,,,,,
Rotom Wash,30,stat_points,1,,13.5%,,,2,0,0,32,0,32
Rotom Wash,30,stat_points,2,,5.8%,,,32,0,0,32,0,2
Rotom Wash,30,stat_points,3,,2.6%,,,32,0,2,32,0,0
Rotom Wash,30,stat_points,4,,2.2%,,,0,0,2,32,0,32
Rotom Wash,30,stat_points,5,,2.2%,,,32,0,0,32,2,0
Rotom Wash,30,stat_points,6,,2.2%,,,0,0,0,32,2,32
Rotom Wash,30,stat_points,7,,1.9%,,,32,0,2,15,5,12
Rotom Wash,30,stat_points,8,,1.6%,,,9,0,0,32,0,25
Rotom Wash,30,stat_points,9,,1.6%,,,23,0,0,11,0,32
Rotom Wash,30,stat_points,10,,1.4%,,,31,0,6,15,0,14
Rotom Wash,30,stat_points,11,,1.4%,,,32,0,32,0,2,0
Rotom Wash,30,stat_points,12,,1.4%,,,18,0,0,16,0,32
Rotom Wash,30,ability,1,Levitate,100.0%,,,,,,,,
