pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Runerigus,149,move,1,Trick Room,78.1%,,,,,,,,
Runerigus,149,move,2,Will-O-Wisp,47.6%,,,,,,,,
Runerigus,149,move,3,Earthquake,42.0%,,,,,,,,
Runerigus,149,move,4,Poltergeist,41.9%,,,,,,,,
Runerigus,149,move,5,Body Press,34.1%,,,,,,,,
Runerigus,149,move,6,Ally Switch,31.1%,,,,,,,,
Runerigus,149,move,7,Protect,25.7%,,,,,,,,
Runerigus,149,move,8,Rock Slide,12.8%,,,,,,,,
Runerigus,149,move,9,Destiny Bond,9.4%,,,,,,,,
Runerigus,149,move,10,Haze,7.4%,,,,,,,,
Runerigus,149,held_item,1,Leftovers,25.7%,,,,,,,,
Runerigus,149,held_item,2,Sitrus Berry,18.7%,,,,,,,,
Runerigus,149,held_item,3,Mental Herb,15.0%,,,,,,,,
Runerigus,149,held_item,4,Focus Sash,10.5%,,,,,,,,
Runerigus,149,held_item,5,Colbur Berry,6.0%,,,,,,,,
Runerigus,149,held_item,6,Passho Berry,5.3%,,,,,,,,
Runerigus,149,held_item,7,Bright Powder,2.9%,,,,,,,,
Runerigus,149,held_item,8,Life Orb,2.6%,,,,,,,,
Runerigus,149,held_item,9,Kasib Berry,1.8%,,,,,,,,
Runerigus,149,held_item,10,Quick Claw,1.5%,,,,,,,,
Runerigus,149,teammate,1,Sinistcha,,,,,,,,,
Runerigus,149,teammate,2,Incineroar,,,,,,,,,
Runerigus,149,teammate,3,Torkoal,,,,,,,,,
Runerigus,149,teammate,4,Tyranitar,,,,,,,,,
Runerigus,149,teammate,5,Mawile,,,,,,,,,
Runerigus,149,teammate,6,Farigiraf,,,,,,,,,
Runerigus,149,teammate,7,Eelektross,,,,,,,,,
Runerigus,149,teammate,8,Kingambit,,,,,,,,,
Runerigus,149,teammate,9,Grimmsnarl,,,,,,,,,
Runerigus,149,teammate,10,Sylveon,,,,,,,,,
Runerigus,149,stat_alignment,1,Relaxed,31.5%,Defense,Speed,,,,,,
Runerigus,149,stat_alignment,2,Sassy,20.5%,Sp. Def,Speed,,,,,,
Runerigus,149,stat_alignment,3,Brave,16.9%,Attack,Speed,,,,,,
Runerigus,149,stat_alignment,4,Impish,11.7%,Defense,Sp. Atk,,,,,,
Runerigus,149,stat_alignment,5,Careful,7.5%,Sp. Def,Sp. Atk,,,,,,
Runerigus,149,stat_alignment,6,Adamant,6.4%,Attack,Sp. Atk,,,,,,
Runerigus,149,stat_alignment,7,Bold,1.8%,Defense,Attack,,,,,,
Runerigus,149,stat_alignment,8,Quiet,1.5%,Sp. Atk,Speed,,,,,,
Runerigus,149,stat_alignment,9,Calm,1.1%,Sp. Def,Attack,,,,,,
Runerigus,149,stat_alignment,10,Lax,0.5%,Defense,Sp. Def,,,,,,
Runerigus,149,stat_points,1,,18.2%,,,32,0,32,0,2,0
Runerigus,149,stat_points,2,,8.7%,,,32,0,2,0,32,0
Runerigus,149,stat_points,3,,6.9%,,,32,32,0,0,2,0
Runerigus,149,stat_points,4,,4.1%,,,2,0,32,0,32,0
Runerigus,149,stat_points,5,,4.1%,,,32,32,2,0,0,0
Runerigus,149,stat_points,6,,3.5%,,,0,32,2,0,32,0
Runerigus,149,stat_points,7,,3.3%,,,0,32,32,0,2,0
Runerigus,149,stat_points,8,,2.7%,,,2,32,32,0,0,0
Runerigus,149,stat_points,9,,2.4%,,,0,2,32,0,32,0
Runerigus,149,stat_points,10,,2.0%,,,32,0,9,0,25,0
Runerigus,149,stat_points,11,,1.8%,,,22,32,7,0,5,0
Runerigus,149,stat_points,12,,1.8%,,,32,32,0,0,0,0
Runerigus,149,ability,1,Wandering Spirit,100.0%,,,,,,,,
