pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sableye,20,move,1,Rain Dance,67.9%,,,,,,,,
Sableye,20,move,2,Light Screen,63.8%,,,,,,,,
Sableye,20,move,3,Reflect,51.6%,,,,,,,,
Sableye,20,move,4,Encore,50.1%,,,,,,,,
Sableye,20,move,5,Will-O-Wisp,48.0%,,,,,,,,
Sableye,20,move,6,Disable,22.1%,,,,,,,,
Sableye,20,move,7,Fake Out,20.7%,,,,,,,,
Sableye,20,move,8,Quash,20.6%,,,,,,,,
Sableye,20,move,9,Foul Play,17.9%,,,,,,,,
Sableye,20,move,10,Sunny Day,8.0%,,,,,,,,
Sableye,20,held_item,1,Light Clay,40.2%,,,,,,,,
Sableye,20,held_item,2,Roseli Berry,33.5%,,,,,,,,
Sableye,20,held_item,3,Sitrus Berry,8.5%,,,,,,,,
Sableye,20,held_item,4,Focus Sash,5.1%,,,,,,,,
Sableye,20,held_item,5,Leftovers,3.1%,,,,,,,,
Sableye,20,held_item,6,Wide Lens,3.1%,,,,,,,,
Sableye,20,held_item,7,Mental Herb,1.5%,,,,,,,,
Sableye,20,held_item,8,Damp Rock,1.2%,,,,,,,,
Sableye,20,held_item,9,Bright Powder,1.0%,,,,,,,,
Sableye,20,held_item,10,Sablenite,0.5%,,,,,,,,
Sableye,20,teammate,1,Archaludon,,,,,,,,,
Sableye,20,teammate,2,Swampert,,,,,,,,,
Sableye,20,teammate,3,Pelipper,,,,,,,,,
Sableye,20,teammate,4,Sinistcha,,,,,,,,,
Sableye,20,teammate,5,Basculegion Male,,,,,,,,,
Sableye,20,teammate,6,Sneasler,,,,,,,,,
Sableye,20,teammate,7,Metagross,,,,,,,,,
Sableye,20,teammate,8,Incineroar,,,,,,,,,
Sableye,20,teammate,9,Venusaur,,,,,,,,,
Sableye,20,teammate,10,Garchomp,,,,,,,,,
Sableye,20,stat_alignment,1,Careful,29.6%,Sp. Def,Sp. Atk,,,,,,
Sableye,20,stat_alignment,2,Calm,19.4%,Sp. Def,Attack,,,,,,
Sableye,20,stat_alignment,3,Sassy,15.6%,Sp. Def,Speed,,,,,,
Sableye,20,stat_alignment,4,Impish,11.3%,Defense,Sp. Atk,,,,,,
Sableye,20,stat_alignment,5,Bold,10.5%,Defense,Attack,,,,,,
Sableye,20,stat_alignment,6,Relaxed,9.2%,Defense,Speed,,,,,,
Sableye,20,stat_alignment,7,Jolly,1.2%,Speed,Sp. Atk,,,,,,
Sableye,20,stat_alignment,8,Adamant,0.9%,Attack,Sp. Atk,,,,,,
Sableye,20,stat_alignment,9,Timid,0.6%,Speed,Attack,,,,,,
Sableye,20,stat_alignment,10,Brave,0.5%,Attack,Speed,,,,,,
Sableye,20,stat_points,1,,27.6%,,,32,0,9,0,25,0
Sableye,20,stat_points,2,,13.8%,,,32,0,2,0,32,0
Sableye,20,stat_points,3,,7.6%,,,32,0,15,0,19,0
Sableye,20,stat_points,4,,4.7%,,,32,0,32,0,2,0
Sableye,20,stat_points,5,,4.3%,,,32,0,7,0,27,0
Sableye,20,stat_points,6,,3.8%,,,32,0,17,0,17,0
Sableye,20,stat_points,7,,3.7%,,,2,0,32,0,32,0
Sableye,20,stat_points,8,,2.2%,,,32,0,19,0,15,0
Sableye,20,stat_points,9,,1.9%,,,32,0,18,0,16,0
Sableye,20,stat_points,10,,1.9%,,,32,0,12,0,22,0
Sableye,20,stat_points,11,,1.8%,,,32,0,5,0,29,0
Sableye,20,stat_points,12,,1.4%,,,32,0,14,0,20,0
Sableye,20,ability,1,Prankster,99.7%,,,,,,,,
Sableye,20,ability,2,Keen Eye,0.2%,,,,,,,,
Sableye,20,ability,3,Stall,0.1%,,,,,,,,
