pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Salazzle,164,move,1,Fake Out,69.2%,,,,,,,,
Salazzle,164,move,2,Sludge Bomb,63.0%,,,,,,,,
Salazzle,164,move,3,Protect,45.6%,,,,,,,,
Salazzle,164,move,4,Toxic,42.5%,,,,,,,,
Salazzle,164,move,5,Heat Wave,39.4%,,,,,,,,
Salazzle,164,move,6,Flamethrower,29.7%,,,,,,,,
Salazzle,164,move,7,Overheat,17.0%,,,,,,,,
Salazzle,164,move,8,Encore,15.8%,,,,,,,,
Salazzle,164,move,9,Sludge Wave,8.9%,,,,,,,,
Salazzle,164,move,10,Will-O-Wisp,7.8%,,,,,,,,
Salazzle,164,held_item,1,Focus Sash,61.0%,,,,,,,,
Salazzle,164,held_item,2,Life Orb,9.1%,,,,,,,,
Salazzle,164,held_item,3,Charcoal,5.1%,,,,,,,,
Salazzle,164,held_item,4,Expert Belt,4.6%,,,,,,,,
Salazzle,164,held_item,5,Poison Barb,4.1%,,,,,,,,
Salazzle,164,held_item,6,Sitrus Berry,2.0%,,,,,,,,
Salazzle,164,held_item,7,Wide Lens,1.9%,,,,,,,,
Salazzle,164,held_item,8,Bright Powder,1.8%,,,,,,,,
Salazzle,164,held_item,9,Leftovers,1.5%,,,,,,,,
Salazzle,164,held_item,10,Shuca Berry,1.3%,,,,,,,,
Salazzle,164,teammate,1,Sinistcha,,,,,,,,,
Salazzle,164,teammate,2,Whimsicott,,,,,,,,,
Salazzle,164,teammate,3,Garchomp,,,,,,,,,
Salazzle,164,teammate,4,Raichu,,,,,,,,,
Salazzle,164,teammate,5,Staraptor,,,,,,,,,
Salazzle,164,teammate,6,Milotic,,,,,,,,,
Salazzle,164,teammate,7,Grimmsnarl,,,,,,,,,
Salazzle,164,teammate,8,Sableye,,,,,,,,,
Salazzle,164,teammate,9,Metagross,,,,,,,,,
Salazzle,164,teammate,10,Kingambit,,,,,,,,,
Salazzle,164,stat_alignment,1,Timid,73.5%,Speed,Attack,,,,,,
Salazzle,164,stat_alignment,2,Modest,17.5%,Sp. Atk,Attack,,,,,,
Salazzle,164,stat_alignment,3,Naive,1.7%,Speed,Sp. Def,,,,,,
Salazzle,164,stat_alignment,4,Hasty,1.5%,Speed,Defense,,,,,,
Salazzle,164,stat_alignment,5,Jolly,1.2%,Speed,Sp. Atk,,,,,,
Salazzle,164,stat_alignment,6,Mild,0.9%,Sp. Atk,Defense,,,,,,
Salazzle,164,stat_alignment,7,Calm,0.9%,Sp. Def,Attack,,,,,,
Salazzle,164,stat_alignment,8,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Salazzle,164,stat_alignment,9,Gentle,0.7%,Sp. Def,Defense,,,,,,
Salazzle,164,stat_alignment,10,Bold,0.7%,Defense,Attack,,,,,,
Salazzle,164,stat_points,1,,57.9%,,,2,0,0,32,0,32
Salazzle,164,stat_points,2,,8.7%,,,0,0,2,32,0,32
Salazzle,164,stat_points,3,,6.7%,,,0,0,0,32,2,32
Salazzle,164,stat_points,4,,4.7%,,,0,0,0,32,0,32
Salazzle,164,stat_points,5,,1.9%,,,1,0,0,32,0,32
Salazzle,164,stat_points,6,,1.6%,,,0,0,1,32,1,32
Salazzle,164,stat_points,7,,1.3%,,,32,0,0,2,0,32
Salazzle,164,stat_points,8,,1.2%,,,32,0,2,0,0,32
Salazzle,164,stat_points,9,,1.1%,,,32,0,2,32,0,0
Salazzle,164,stat_points,10,,1.0%,,,14,0,0,32,2,18
Salazzle,164,stat_points,11,,1.0%,,,32,0,0,32,0,2
Salazzle,164,ability,1,Corrosion,70.1%,,,,,,,,
Salazzle,164,ability,2,Oblivious,29.9%,,,,,,,,
