pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sandaconda,206,move,1,Minimize,52.7%,,,,,,,,
Sandaconda,206,move,2,Rock Slide,47.0%,,,,,,,,
Sandaconda,206,move,3,Body Press,43.3%,,,,,,,,
Sandaconda,206,move,4,Earthquake,43.3%,,,,,,,,
Sandaconda,206,move,5,Coil,34.0%,,,,,,,,
Sandaconda,206,move,6,Iron Defense,32.9%,,,,,,,,
Sandaconda,206,move,7,Glare,30.7%,,,,,,,,
Sandaconda,206,move,8,High Horsepower,27.1%,,,,,,,,
Sandaconda,206,move,9,Stone Edge,14.2%,,,,,,,,
Sandaconda,206,move,10,Iron Head,11.3%,,,,,,,,
Sandaconda,206,held_item,1,Bright Powder,41.3%,,,,,,,,
Sandaconda,206,held_item,2,Leftovers,25.2%,,,,,,,,
Sandaconda,206,held_item,3,Sitrus Berry,13.8%,,,,,,,,
Sandaconda,206,held_item,4,Life Orb,7.6%,,,,,,,,
Sandaconda,206,held_item,5,Lum Berry,2.6%,,,,,,,,
Sandaconda,206,held_item,6,Quick Claw,1.8%,,,,,,,,
Sandaconda,206,held_item,7,Focus Sash,1.7%,,,,,,,,
Sandaconda,206,held_item,8,Chesto Berry,1.1%,,,,,,,,
Sandaconda,206,held_item,9,Smooth Rock,0.9%,,,,,,,,
Sandaconda,206,held_item,10,Scope Lens,0.8%,,,,,,,,
Sandaconda,206,teammate,1,Sinistcha,,,,,,,,,
Sandaconda,206,teammate,2,Tyranitar,,,,,,,,,
Sandaconda,206,teammate,3,Houndstone,,,,,,,,,
Sandaconda,206,teammate,4,Excadrill,,,,,,,,,
Sandaconda,206,teammate,5,Garchomp,,,,,,,,,
Sandaconda,206,teammate,6,Klefki,,,,,,,,,
Sandaconda,206,teammate,7,Chimecho,,,,,,,,,
Sandaconda,206,teammate,8,Milotic,,,,,,,,,
Sandaconda,206,teammate,9,Kingambit,,,,,,,,,
Sandaconda,206,teammate,10,Gholdengo,,,,,,,,,
Sandaconda,206,stat_alignment,1,Careful,35.7%,Sp. Def,Sp. Atk,,,,,,
Sandaconda,206,stat_alignment,2,Impish,26.7%,Defense,Sp. Atk,,,,,,
Sandaconda,206,stat_alignment,3,Adamant,25.0%,Attack,Sp. Atk,,,,,,
Sandaconda,206,stat_alignment,4,Jolly,2.5%,Speed,Sp. Atk,,,,,,
Sandaconda,206,stat_alignment,5,Relaxed,2.3%,Defense,Speed,,,,,,
Sandaconda,206,stat_alignment,6,Sassy,2.2%,Sp. Def,Speed,,,,,,
Sandaconda,206,stat_alignment,7,Brave,2.1%,Attack,Speed,,,,,,
Sandaconda,206,stat_alignment,8,Naughty,1.9%,Attack,Sp. Def,,,,,,
Sandaconda,206,stat_alignment,9,Bold,1.1%,Defense,Attack,,,,,,
Sandaconda,206,stat_alignment,10,Hasty,0.2%,Speed,Defense,,,,,,
Sandaconda,206,stat_points,1,,16.6%,,,24,0,0,0,32,10
Sandaconda,206,stat_points,2,,12.7%,,,2,0,32,0,32,0
Sandaconda,206,stat_points,3,,8.6%,,,32,9,25,0,0,0
Sandaconda,206,stat_points,4,,6.4%,,,0,23,0,0,1,32
Sandaconda,206,stat_points,5,,5.6%,,,32,0,2,0,32,0
Sandaconda,206,stat_points,6,,4.1%,,,2,32,32,0,0,0
Sandaconda,206,stat_points,7,,3.6%,,,32,0,15,0,19,0
Sandaconda,206,stat_points,8,,3.5%,,,32,0,32,0,2,0
Sandaconda,206,stat_points,9,,3.3%,,,0,32,2,0,32,0
Sandaconda,206,stat_points,10,,2.7%,,,0,32,2,0,0,32
Sandaconda,206,stat_points,11,,1.9%,,,0,32,32,0,0,2
Sandaconda,206,stat_points,12,,1.8%,,,32,32,2,0,0,0
Sandaconda,206,ability,1,Sand Veil,46.8%,,,,,,,,
Sandaconda,206,ability,2,Sand Spit,41.7%,,,,,,,,
Sandaconda,206,ability,3,Shed Skin,11.5%,,,,,,,,
