pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sceptile,41,move,1,Dragon Pulse,94.8%,,,,,,,,
Sceptile,41,move,2,Earth Power,94.2%,,,,,,,,
Sceptile,41,move,3,Detect,56.5%,,,,,,,,
Sceptile,41,move,4,Energy Ball,45.0%,,,,,,,,
Sceptile,41,move,5,Protect,36.5%,,,,,,,,
Sceptile,41,move,6,Leaf Storm,25.3%,,,,,,,,
Sceptile,41,move,7,Grass Knot,15.8%,,,,,,,,
Sceptile,41,move,8,Giga Drain,14.3%,,,,,,,,
Sceptile,41,move,9,Shed Tail,3.6%,,,,,,,,
Sceptile,41,move,10,Vacuum Wave,2.7%,,,,,,,,
Sceptile,41,held_item,1,Sceptilite,95.5%,,,,,,,,
Sceptile,41,held_item,2,White Herb,1.4%,,,,,,,,
Sceptile,41,held_item,3,Focus Sash,0.8%,,,,,,,,
Sceptile,41,held_item,4,Sitrus Berry,0.5%,,,,,,,,
Sceptile,41,held_item,5,Life Orb,0.4%,,,,,,,,
Sceptile,41,held_item,6,Choice Scarf,0.4%,,,,,,,,
Sceptile,41,held_item,7,Yache Berry,0.1%,,,,,,,,
Sceptile,41,held_item,8,King's Rock,0.1%,,,,,,,,
Sceptile,41,held_item,9,Miracle Seed,0.1%,,,,,,,,
Sceptile,41,held_item,10,Expert Belt,0.1%,,,,,,,,
Sceptile,41,teammate,1,Garchomp,,,,,,,,,
Sceptile,41,teammate,2,Rotom Heat,,,,,,,,,
Sceptile,41,teammate,3,Basculegion Male,,,,,,,,,
Sceptile,41,teammate,4,Aerodactyl,,,,,,,,,
Sceptile,41,teammate,5,Rotom Wash,,,,,,,,,
Sceptile,41,teammate,6,Sneasler,,,,,,,,,
Sceptile,41,teammate,7,Whimsicott,,,,,,,,,
Sceptile,41,teammate,8,Talonflame,,,,,,,,,
Sceptile,41,teammate,9,Sylveon,,,,,,,,,
Sceptile,41,teammate,10,Kingambit,,,,,,,,,
Sceptile,41,stat_alignment,1,Timid,67.7%,Speed,Attack,,,,,,
Sceptile,41,stat_alignment,2,Modest,28.5%,Sp. Atk,Attack,,,,,,
Sceptile,41,stat_alignment,3,Hasty,0.7%,Speed,Defense,,,,,,
Sceptile,41,stat_alignment,4,Mild,0.7%,Sp. Atk,Defense,,,,,,
Sceptile,41,stat_alignment,5,Bold,0.4%,Defense,Attack,,,,,,
Sceptile,41,stat_alignment,6,Adamant,0.4%,Attack,Sp. Atk,,,,,,
Sceptile,41,stat_alignment,7,Calm,0.3%,Sp. Def,Attack,,,,,,
Sceptile,41,stat_alignment,8,Jolly,0.3%,Speed,Sp. Atk,,,,,,
Sceptile,41,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Sceptile,41,stat_alignment,10,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Sceptile,41,stat_points,1,,54.8%,,,2,0,0,32,0,32
Sceptile,41,stat_points,2,,5.9%,,,0,0,2,32,0,32
Sceptile,41,stat_points,3,,5.3%,,,0,0,0,32,2,32
Sceptile,41,stat_points,4,,3.7%,,,3,0,0,32,0,31
Sceptile,41,stat_points,5,,3.0%,,,1,0,0,32,0,23
Sceptile,41,stat_points,6,,2.3%,,,0,0,0,32,0,32
Sceptile,41,stat_points,7,,2.1%,,,14,0,1,26,0,25
Sceptile,41,stat_points,8,,0.8%,,,1,0,1,32,0,32
Sceptile,41,stat_points,9,,0.7%,,,32,0,0,32,0,2
Sceptile,41,stat_points,10,,0.7%,,,32,0,0,2,0,32
Sceptile,41,stat_points,11,,0.7%,,,4,0,0,32,0,30
Sceptile,41,stat_points,12,,0.6%,,,9,0,0,27,0,30
Sceptile,41,ability,1,Overgrow,76.5%,,,,,,,,
Sceptile,41,ability,2,Unburden,23.5%,,,,,,,,
