pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scizor,56,move,1,Bullet Punch,99.5%,,,,,,,,
Scizor,56,move,2,Protect,71.9%,,,,,,,,
Scizor,56,move,3,Swords Dance,57.2%,,,,,,,,
Scizor,56,move,4,Bug Bite,56.9%,,,,,,,,
Scizor,56,move,5,Close Combat,37.1%,,,,,,,,
Scizor,56,move,6,U-turn,18.5%,,,,,,,,
Scizor,56,move,7,Dual Wingbeat,17.8%,,,,,,,,
Scizor,56,move,8,Knock Off,10.8%,,,,,,,,
Scizor,56,move,9,Trailblaze,4.4%,,,,,,,,
Scizor,56,move,10,Brick Break,3.4%,,,,,,,,
Scizor,56,held_item,1,Scizorite,49.4%,,,,,,,,
Scizor,56,held_item,2,Life Orb,16.9%,,,,,,,,
Scizor,56,held_item,3,Expert Belt,9.2%,,,,,,,,
Scizor,56,held_item,4,Metal Coat,8.2%,,,,,,,,
Scizor,56,held_item,5,Sitrus Berry,4.3%,,,,,,,,
Scizor,56,held_item,6,Focus Sash,2.9%,,,,,,,,
Scizor,56,held_item,7,Muscle Band,1.5%,,,,,,,,
Scizor,56,held_item,8,Leftovers,1.5%,,,,,,,,
Scizor,56,held_item,9,Occa Berry,1.3%,,,,,,,,
Scizor,56,held_item,10,White Herb,1.2%,,,,,,,,
Scizor,56,teammate,1,Incineroar,,,,,,,,,
Scizor,56,teammate,2,Pelipper,,,,,,,,,
Scizor,56,teammate,3,Sinistcha,,,,,,,,,
Scizor,56,teammate,4,Basculegion Male,,,,,,,,,
Scizor,56,teammate,5,Garchomp,,,,,,,,,
Scizor,56,teammate,6,Swampert,,,,,,,,,
Scizor,56,teammate,7,Whimsicott,,,,,,,,,
Scizor,56,teammate,8,Archaludon,,,,,,,,,
Scizor,56,teammate,9,Sableye,,,,,,,,,
Scizor,56,teammate,10,Raichu,,,,,,,,,
Scizor,56,stat_alignment,1,Adamant,85.9%,Attack,Sp. Atk,,,,,,
Scizor,56,stat_alignment,2,Brave,7.7%,Attack,Speed,,,,,,
Scizor,56,stat_alignment,3,Jolly,2.0%,Speed,Sp. Atk,,,,,,
Scizor,56,stat_alignment,4,Careful,1.4%,Sp. Def,Sp. Atk,,,,,,
Scizor,56,stat_alignment,5,Impish,1.0%,Defense,Sp. Atk,,,,,,
Scizor,56,stat_alignment,6,Lonely,0.6%,Attack,Defense,,,,,,
Scizor,56,stat_alignment,7,Naughty,0.5%,Attack,Sp. Def,,,,,,
Scizor,56,stat_alignment,8,Sassy,0.4%,Sp. Def,Speed,,,,,,
Scizor,56,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Scizor,56,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Scizor,56,stat_points,1,,30.9%,,,32,32,0,0,2,0
Scizor,56,stat_points,2,,11.9%,,,32,32,2,0,0,0
Scizor,56,stat_points,3,,8.7%,,,32,32,0,0,0,2
Scizor,56,stat_points,4,,4.3%,,,2,32,0,0,0,32
Scizor,56,stat_points,5,,3.1%,,,32,32,1,0,1,0
Scizor,56,stat_points,6,,2.2%,,,2,32,32,0,0,0
Scizor,56,stat_points,7,,1.7%,,,0,32,32,0,2,0
Scizor,56,stat_points,8,,1.6%,,,0,32,2,0,0,32
Scizor,56,stat_points,9,,1.4%,,,26,32,0,0,8,0
Scizor,56,stat_points,10,,1.4%,,,32,32,0,0,0,0
Scizor,56,stat_points,11,,1.4%,,,0,32,0,0,2,32
Scizor,56,stat_points,12,,1.1%,,,0,32,2,0,32,0
Scizor,56,ability,1,Technician,97.6%,,,,,,,,
Scizor,56,ability,2,Swarm,1.6%,,,,,,,,
Scizor,56,ability,3,Light Metal,0.8%,,,,,,,,
