pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scolipede,129,move,1,Protect,88.9%,,,,,,,,
Scolipede,129,move,2,Leech Life,68.3%,,,,,,,,
Scolipede,129,move,3,Swords Dance,59.2%,,,,,,,,
Scolipede,129,move,4,Poison Jab,38.2%,,,,,,,,
Scolipede,129,move,5,Rock Slide,24.9%,,,,,,,,
Scolipede,129,move,6,Gunk Shot,23.9%,,,,,,,,
Scolipede,129,move,7,Earthquake,16.0%,,,,,,,,
Scolipede,129,move,8,Megahorn,12.4%,,,,,,,,
Scolipede,129,move,9,Stomping Tantrum,10.4%,,,,,,,,
Scolipede,129,move,10,Baton Pass,9.7%,,,,,,,,
Scolipede,129,held_item,1,Scolipite,72.6%,,,,,,,,
Scolipede,129,held_item,2,Focus Sash,6.2%,,,,,,,,
Scolipede,129,held_item,3,Life Orb,5.0%,,,,,,,,
Scolipede,129,held_item,4,Mental Herb,3.0%,,,,,,,,
Scolipede,129,held_item,5,Wide Lens,2.5%,,,,,,,,
Scolipede,129,held_item,6,Expert Belt,2.1%,,,,,,,,
Scolipede,129,held_item,7,Sitrus Berry,1.9%,,,,,,,,
Scolipede,129,held_item,8,Leftovers,0.9%,,,,,,,,
Scolipede,129,held_item,9,Poison Barb,0.8%,,,,,,,,
Scolipede,129,held_item,10,Silver Powder,0.6%,,,,,,,,
Scolipede,129,teammate,1,Sinistcha,,,,,,,,,
Scolipede,129,teammate,2,Incineroar,,,,,,,,,
Scolipede,129,teammate,3,Garchomp,,,,,,,,,
Scolipede,129,teammate,4,Grimmsnarl,,,,,,,,,
Scolipede,129,teammate,5,Sableye,,,,,,,,,
Scolipede,129,teammate,6,Whimsicott,,,,,,,,,
Scolipede,129,teammate,7,Raichu,,,,,,,,,
Scolipede,129,teammate,8,Farigiraf,,,,,,,,,
Scolipede,129,teammate,9,Kingambit,,,,,,,,,
Scolipede,129,teammate,10,Basculegion Male,,,,,,,,,
Scolipede,129,stat_alignment,1,Adamant,55.7%,Attack,Sp. Atk,,,,,,
Scolipede,129,stat_alignment,2,Jolly,16.3%,Speed,Sp. Atk,,,,,,
Scolipede,129,stat_alignment,3,Careful,12.8%,Sp. Def,Sp. Atk,,,,,,
Scolipede,129,stat_alignment,4,Brave,7.3%,Attack,Speed,,,,,,
Scolipede,129,stat_alignment,5,Impish,3.7%,Defense,Sp. Atk,,,,,,
Scolipede,129,stat_alignment,6,Sassy,0.8%,Sp. Def,Speed,,,,,,
Scolipede,129,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Scolipede,129,stat_alignment,8,Lonely,0.3%,Attack,Defense,,,,,,
Scolipede,129,stat_alignment,9,Naughty,0.1%,Attack,Sp. Def,,,,,,
Scolipede,129,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Scolipede,129,stat_points,1,,16.0%,,,2,32,0,0,0,32
Scolipede,129,stat_points,2,,6.9%,,,32,32,0,0,2,0
Scolipede,129,stat_points,3,,3.0%,,,0,32,0,0,2,32
Scolipede,129,stat_points,4,,2.8%,,,32,32,0,0,0,2
Scolipede,129,stat_points,5,,2.6%,,,32,0,1,0,30,3
Scolipede,129,stat_points,6,,2.5%,,,0,32,2,0,0,32
Scolipede,129,stat_points,7,,2.1%,,,32,0,11,0,23,0
Scolipede,129,stat_points,8,,1.7%,,,2,32,0,0,32,0
Scolipede,129,stat_points,9,,1.5%,,,32,32,2,0,0,0
Scolipede,129,stat_points,10,,1.5%,,,18,10,0,0,6,32
Scolipede,129,stat_points,11,,1.4%,,,32,0,2,0,32,0
Scolipede,129,stat_points,12,,1.2%,,,26,32,0,0,0,8
Scolipede,129,ability,1,Speed Boost,91.6%,,,,,,,,
Scolipede,129,ability,2,Poison Point,7.1%,,,,,,,,
Scolipede,129,ability,3,Swarm,1.3%,,,,,,,,
