pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Scrafty,47,move,1,Knock Off,89.9%,,,,,,,,
Scrafty,47,move,2,Fake Out,88.1%,,,,,,,,
Scrafty,47,move,3,Drain Punch,69.8%,,,,,,,,
Scrafty,47,move,4,Close Combat,25.5%,,,,,,,,
Scrafty,47,move,5,Ice Punch,23.4%,,,,,,,,
Scrafty,47,move,6,Protect,23.0%,,,,,,,,
Scrafty,47,move,7,Detect,16.2%,,,,,,,,
Scrafty,47,move,8,Rock Slide,11.0%,,,,,,,,
Scrafty,47,move,9,Swords Dance,8.5%,,,,,,,,
Scrafty,47,move,10,Throat Chop,5.4%,,,,,,,,
Scrafty,47,held_item,1,Scraftinite,84.1%,,,,,,,,
Scrafty,47,held_item,2,Sitrus Berry,4.3%,,,,,,,,
Scrafty,47,held_item,3,Leftovers,3.0%,,,,,,,,
Scrafty,47,held_item,4,Roseli Berry,2.4%,,,,,,,,
Scrafty,47,held_item,5,Expert Belt,1.0%,,,,,,,,
Scrafty,47,held_item,6,Life Orb,0.8%,,,,,,,,
Scrafty,47,held_item,7,Focus Sash,0.8%,,,,,,,,
Scrafty,47,held_item,8,White Herb,0.7%,,,,,,,,
Scrafty,47,held_item,9,Black Belt,0.6%,,,,,,,,
Scrafty,47,held_item,10,Chople Berry,0.6%,,,,,,,,
Scrafty,47,teammate,1,Farigiraf,,,,,,,,,
Scrafty,47,teammate,2,Torkoal,,,,,,,,,
Scrafty,47,teammate,3,Sinistcha,,,,,,,,,
Scrafty,47,teammate,4,Sylveon,,,,,,,,,
Scrafty,47,teammate,5,Venusaur,,,,,,,,,
Scrafty,47,teammate,6,Pyroar,,,,,,,,,
Scrafty,47,teammate,7,Garchomp,,,,,,,,,
Scrafty,47,teammate,8,Gholdengo,,,,,,,,,
Scrafty,47,teammate,9,Mamoswine,,,,,,,,,
Scrafty,47,teammate,10,Whimsicott,,,,,,,,,
Scrafty,47,stat_alignment,1,Adamant,54.9%,Attack,Sp. Atk,,,,,,
Scrafty,47,stat_alignment,2,Brave,27.6%,Attack,Speed,,,,,,
Scrafty,47,stat_alignment,3,Careful,8.1%,Sp. Def,Sp. Atk,,,,,,
Scrafty,47,stat_alignment,4,Impish,3.6%,Defense,Sp. Atk,,,,,,
Scrafty,47,stat_alignment,5,Jolly,2.6%,Speed,Sp. Atk,,,,,,
Scrafty,47,stat_alignment,6,Sassy,1.6%,Sp. Def,Speed,,,,,,
Scrafty,47,stat_alignment,7,Relaxed,1.0%,Defense,Speed,,,,,,
Scrafty,47,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Scrafty,47,stat_alignment,9,Lonely,0.1%,Attack,Defense,,,,,,
Scrafty,47,stat_alignment,10,Bashful,0.1%,,,,,,,,
Scrafty,47,stat_points,1,,20.2%,,,32,32,2,0,0,0
Scrafty,47,stat_points,2,,18.6%,,,32,32,0,0,2,0
Scrafty,47,stat_points,3,,6.4%,,,32,20,0,0,14,0
Scrafty,47,stat_points,4,,4.3%,,,7,21,0,0,0,28
Scrafty,47,stat_points,5,,4.3%,,,32,32,1,0,1,0
Scrafty,47,stat_points,6,,3.0%,,,32,32,0,0,0,2
Scrafty,47,stat_points,7,,1.4%,,,32,32,0,0,0,0
Scrafty,47,stat_points,8,,1.4%,,,2,32,0,0,0,32
Scrafty,47,stat_points,9,,1.2%,,,0,32,2,0,32,0
Scrafty,47,stat_points,10,,1.2%,,,32,7,17,0,5,5
Scrafty,47,stat_points,11,,1.1%,,,2,32,0,0,32,0
Scrafty,47,stat_points,12,,1.0%,,,32,32,0,0,1,1
Scrafty,47,ability,1,Intimidate,98.3%,,,,,,,,
Scrafty,47,ability,2,Moxie,1.3%,,,,,,,,
Scrafty,47,ability,3,Shed Skin,0.4%,,,,,,,,
