pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Serperior,109,move,1,Leaf Storm,99.2%,,,,,,,,
Serperior,109,move,2,Protect,71.0%,,,,,,,,
Serperior,109,move,3,Dragon Pulse,65.1%,,,,,,,,
Serperior,109,move,4,Giga Drain,34.6%,,,,,,,,
Serperior,109,move,5,Glare,32.8%,,,,,,,,
Serperior,109,move,6,Taunt,13.1%,,,,,,,,
Serperior,109,move,7,Light Screen,12.5%,,,,,,,,
Serperior,109,move,8,Reflect,12.4%,,,,,,,,
Serperior,109,move,9,Leech Seed,9.4%,,,,,,,,
Serperior,109,move,10,Synthesis,7.8%,,,,,,,,
Serperior,109,held_item,1,Leftovers,17.9%,,,,,,,,
Serperior,109,held_item,2,Sitrus Berry,13.6%,,,,,,,,
Serperior,109,held_item,3,Miracle Seed,12.3%,,,,,,,,
Serperior,109,held_item,4,Choice Scarf,9.8%,,,,,,,,
Serperior,109,held_item,5,Focus Sash,9.2%,,,,,,,,
Serperior,109,held_item,6,Life Orb,7.0%,,,,,,,,
Serperior,109,held_item,7,Wide Lens,6.1%,,,,,,,,
Serperior,109,held_item,8,Light Clay,5.2%,,,,,,,,
Serperior,109,held_item,9,Wise Glasses,2.6%,,,,,,,,
Serperior,109,held_item,10,Occa Berry,2.1%,,,,,,,,
Serperior,109,teammate,1,Whimsicott,,,,,,,,,
Serperior,109,teammate,2,Garchomp,,,,,,,,,
Serperior,109,teammate,3,Incineroar,,,,,,,,,
Serperior,109,teammate,4,Staraptor,,,,,,,,,
Serperior,109,teammate,5,Milotic,,,,,,,,,
Serperior,109,teammate,6,Raichu,,,,,,,,,
Serperior,109,teammate,7,Grimmsnarl,,,,,,,,,
Serperior,109,teammate,8,Sylveon,,,,,,,,,
Serperior,109,teammate,9,Sneasler,,,,,,,,,
Serperior,109,teammate,10,Metagross,,,,,,,,,
Serperior,109,stat_alignment,1,Timid,61.4%,Speed,Attack,,,,,,
Serperior,109,stat_alignment,2,Modest,29.4%,Sp. Atk,Attack,,,,,,
Serperior,109,stat_alignment,3,Calm,2.6%,Sp. Def,Attack,,,,,,
Serperior,109,stat_alignment,4,Bold,2.5%,Defense,Attack,,,,,,
Serperior,109,stat_alignment,5,Quiet,1.0%,Sp. Atk,Speed,,,,,,
Serperior,109,stat_alignment,6,Mild,0.7%,Sp. Atk,Defense,,,,,,
Serperior,109,stat_alignment,7,Hasty,0.7%,Speed,Defense,,,,,,
Serperior,109,stat_alignment,8,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Serperior,109,stat_alignment,9,Serious,0.2%,,,,,,,,
Serperior,109,stat_alignment,10,Relaxed,0.2%,Defense,Speed,,,,,,
Serperior,109,stat_points,1,,25.2%,,,2,0,0,32,0,32
Serperior,109,stat_points,2,,7.7%,,,0,0,2,32,0,32
Serperior,109,stat_points,3,,5.9%,,,0,0,0,32,2,32
Serperior,109,stat_points,4,,4.7%,,,32,0,5,1,2,26
Serperior,109,stat_points,5,,2.8%,,,32,0,0,2,0,32
Serperior,109,stat_points,6,,2.3%,,,0,0,0,32,0,32
Serperior,109,stat_points,7,,2.0%,,,32,0,0,32,0,2
Serperior,109,stat_points,8,,1.6%,,,32,0,0,32,2,0
Serperior,109,stat_points,9,,1.3%,,,31,0,1,11,0,23
Serperior,109,stat_points,10,,1.2%,,,28,0,3,0,3,32
Serperior,109,stat_points,11,,1.1%,,,1,0,0,32,0,32
Serperior,109,stat_points,12,,1.1%,,,0,0,32,32,2,0
Serperior,109,ability,1,Contrary,99.2%,,,,,,,,
Serperior,109,ability,2,Overgrow,0.8%,,,,,,,,
