pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sharpedo,180,move,1,Protect,94.7%,,,,,,,,
Sharpedo,180,move,2,Crunch,89.0%,,,,,,,,
Sharpedo,180,move,3,Psychic Fangs,58.1%,,,,,,,,
Sharpedo,180,move,4,Liquidation,36.9%,,,,,,,,
Sharpedo,180,move,5,Ice Fang,32.9%,,,,,,,,
Sharpedo,180,move,6,Close Combat,20.4%,,,,,,,,
Sharpedo,180,move,7,Destiny Bond,15.7%,,,,,,,,
Sharpedo,180,move,8,Waterfall,11.3%,,,,,,,,
Sharpedo,180,move,9,Flip Turn,6.3%,,,,,,,,
Sharpedo,180,move,10,Aqua Jet,5.2%,,,,,,,,
Sharpedo,180,held_item,1,Sharpedonite,65.6%,,,,,,,,
Sharpedo,180,held_item,2,Focus Sash,22.1%,,,,,,,,
Sharpedo,180,held_item,3,Life Orb,6.7%,,,,,,,,
Sharpedo,180,held_item,4,White Herb,1.0%,,,,,,,,
Sharpedo,180,held_item,5,Muscle Band,1.0%,,,,,,,,
Sharpedo,180,held_item,6,Expert Belt,0.5%,,,,,,,,
Sharpedo,180,held_item,7,Leftovers,0.5%,,,,,,,,
Sharpedo,180,held_item,8,Black Glasses,0.5%,,,,,,,,
Sharpedo,180,held_item,9,Mystic Water,0.4%,,,,,,,,
Sharpedo,180,held_item,10,Lum Berry,0.3%,,,,,,,,
Sharpedo,180,teammate,1,Whimsicott,,,,,,,,,
Sharpedo,180,teammate,2,Sneasler,,,,,,,,,
Sharpedo,180,teammate,3,Raichu,,,,,,,,,
Sharpedo,180,teammate,4,Sylveon,,,,,,,,,
Sharpedo,180,teammate,5,Kingambit,,,,,,,,,
Sharpedo,180,teammate,6,Sinistcha,,,,,,,,,
Sharpedo,180,teammate,7,Pelipper,,,,,,,,,
Sharpedo,180,teammate,8,Garchomp,,,,,,,,,
Sharpedo,180,teammate,9,Incineroar,,,,,,,,,
Sharpedo,180,teammate,10,Sableye,,,,,,,,,
Sharpedo,180,stat_alignment,1,Adamant,71.9%,Attack,Sp. Atk,,,,,,
Sharpedo,180,stat_alignment,2,Jolly,16.6%,Speed,Sp. Atk,,,,,,
Sharpedo,180,stat_alignment,3,Hasty,2.6%,Speed,Defense,,,,,,
Sharpedo,180,stat_alignment,4,Naughty,2.3%,Attack,Sp. Def,,,,,,
Sharpedo,180,stat_alignment,5,Lonely,1.7%,Attack,Defense,,,,,,
Sharpedo,180,stat_alignment,6,Timid,1.7%,Speed,Attack,,,,,,
Sharpedo,180,stat_alignment,7,Naive,1.1%,Speed,Sp. Def,,,,,,
Sharpedo,180,stat_alignment,8,Modest,1.0%,Sp. Atk,Attack,,,,,,
Sharpedo,180,stat_alignment,9,Brave,0.5%,Attack,Speed,,,,,,
Sharpedo,180,stat_alignment,10,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Sharpedo,180,stat_points,1,,35.9%,,,2,32,0,0,0,32
Sharpedo,180,stat_points,2,,7.4%,,,0,32,0,0,2,32
Sharpedo,180,stat_points,3,,6.7%,,,0,32,2,0,0,32
Sharpedo,180,stat_points,4,,3.9%,,,0,32,0,0,0,32
Sharpedo,180,stat_points,5,,3.0%,,,7,32,0,0,0,27
Sharpedo,180,stat_points,6,,1.5%,,,4,32,0,0,0,30
Sharpedo,180,stat_points,7,,1.5%,,,32,32,2,0,0,0
Sharpedo,180,stat_points,8,,1.4%,,,32,32,0,0,0,2
Sharpedo,180,stat_points,9,,1.3%,,,0,0,0,32,2,32
Sharpedo,180,stat_points,10,,1.2%,,,0,32,0,2,0,32
Sharpedo,180,stat_points,11,,1.2%,,,6,32,6,0,6,16
Sharpedo,180,stat_points,12,,0.9%,,,2,0,0,32,0,32
Sharpedo,180,ability,1,Speed Boost,98.3%,,,,,,,,
Sharpedo,180,ability,2,Rough Skin,1.7%,,,,,,,,
