pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simipour,75,move,1,Fake Out,87.2%,,,,,,,,
Simipour,75,move,2,Scald,59.1%,,,,,,,,
Simipour,75,move,3,Icy Wind,44.5%,,,,,,,,
Simipour,75,move,4,Ice Beam,33.7%,,,,,,,,
Simipour,75,move,5,Grass Knot,27.6%,,,,,,,,
Simipour,75,move,6,Protect,26.0%,,,,,,,,
Simipour,75,move,7,Taunt,23.6%,,,,,,,,
Simipour,75,move,8,Helping Hand,18.3%,,,,,,,,
Simipour,75,move,9,Flip Turn,17.8%,,,,,,,,
Simipour,75,move,10,Surf,11.6%,,,,,,,,
Simipour,75,held_item,1,Focus Sash,24.1%,,,,,,,,
Simipour,75,held_item,2,Mystic Water,15.0%,,,,,,,,
Simipour,75,held_item,3,White Herb,11.6%,,,,,,,,
Simipour,75,held_item,4,Sitrus Berry,11.0%,,,,,,,,
Simipour,75,held_item,5,Leftovers,6.6%,,,,,,,,
Simipour,75,held_item,6,Expert Belt,6.2%,,,,,,,,
Simipour,75,held_item,7,Focus Band,5.2%,,,,,,,,
Simipour,75,held_item,8,Life Orb,4.7%,,,,,,,,
Simipour,75,held_item,9,Choice Scarf,3.9%,,,,,,,,
Simipour,75,held_item,10,Metronome,2.5%,,,,,,,,
Simipour,75,teammate,1,Garchomp,,,,,,,,,
Simipour,75,teammate,2,Staraptor,,,,,,,,,
Simipour,75,teammate,3,Eelektross,,,,,,,,,
Simipour,75,teammate,4,Raichu,,,,,,,,,
Simipour,75,teammate,5,Oranguru,,,,,,,,,
Simipour,75,teammate,6,Torkoal,,,,,,,,,
Simipour,75,teammate,7,Vanilluxe,,,,,,,,,
Simipour,75,teammate,8,Whimsicott,,,,,,,,,
Simipour,75,teammate,9,Talonflame,,,,,,,,,
Simipour,75,teammate,10,Chandelure,,,,,,,,,
Simipour,75,stat_alignment,1,Timid,50.0%,Speed,Attack,,,,,,
Simipour,75,stat_alignment,2,Modest,24.5%,Sp. Atk,Attack,,,,,,
Simipour,75,stat_alignment,3,Naive,12.3%,Speed,Sp. Def,,,,,,
Simipour,75,stat_alignment,4,Adamant,5.8%,Attack,Sp. Atk,,,,,,
Simipour,75,stat_alignment,5,Hasty,3.0%,Speed,Defense,,,,,,
Simipour,75,stat_alignment,6,Jolly,2.3%,Speed,Sp. Atk,,,,,,
Simipour,75,stat_alignment,7,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Simipour,75,stat_alignment,8,Calm,0.6%,Sp. Def,Attack,,,,,,
Simipour,75,stat_alignment,9,Lonely,0.3%,Attack,Defense,,,,,,
Simipour,75,stat_alignment,10,Bold,0.3%,Defense,Attack,,,,,,
Simipour,75,stat_points,1,,31.8%,,,2,0,0,32,0,32
Simipour,75,stat_points,2,,12.7%,,,1,0,1,32,0,32
Simipour,75,stat_points,3,,11.6%,,,0,32,0,0,0,32
Simipour,75,stat_points,4,,9.5%,,,0,0,2,32,0,32
Simipour,75,stat_points,5,,7.4%,,,17,0,17,0,0,32
Simipour,75,stat_points,6,,3.6%,,,0,2,0,32,0,32
Simipour,75,stat_points,7,,3.1%,,,28,32,0,0,2,4
Simipour,75,stat_points,8,,1.9%,,,2,32,0,0,0,32
Simipour,75,stat_points,9,,1.8%,,,32,0,2,32,0,0
Simipour,75,stat_points,10,,1.7%,,,0,0,0,32,0,32
Simipour,75,stat_points,11,,1.7%,,,2,0,32,32,0,0
Simipour,75,stat_points,12,,1.4%,,,32,0,2,0,0,32
Simipour,75,ability,1,Torrent,75.2%,,,,,,,,
Simipour,75,ability,2,Gluttony,24.8%,,,,,,,,
