pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simisage,232,move,1,Fake Out,84.7%,,,,,,,,
Simisage,232,move,2,Seed Bomb,40.9%,,,,,,,,
Simisage,232,move,3,Taunt,40.3%,,,,,,,,
Simisage,232,move,4,Protect,33.4%,,,,,,,,
Simisage,232,move,5,Rock Slide,32.9%,,,,,,,,
Simisage,232,held_item,1,Focus Sash,54.8%,,,,,,,,
Simisage,232,held_item,2,Miracle Seed,11.0%,,,,,,,,
Simisage,232,held_item,3,Sitrus Berry,6.6%,,,,,,,,
Simisage,232,held_item,4,Occa Berry,6.1%,,,,,,,,
Simisage,232,held_item,5,King's Rock,6.1%,,,,,,,,
Simisage,232,teammate,1,Sylveon,,,,,,,,,
Simisage,232,teammate,2,Raichu,,,,,,,,,
Simisage,232,teammate,3,Annihilape,,,,,,,,,
Simisage,232,teammate,4,Torkoal,,,,,,,,,
Simisage,232,teammate,5,Talonflame,,,,,,,,,
Simisage,232,stat_alignment,1,Jolly,59.4%,Speed,Sp. Atk,,,,,,
Simisage,232,stat_alignment,2,Adamant,13.0%,Attack,Sp. Atk,,,,,,
Simisage,232,stat_alignment,3,Calm,8.9%,Sp. Def,Attack,,,,,,
Simisage,232,stat_alignment,4,Timid,8.1%,Speed,Attack,,,,,,
Simisage,232,stat_alignment,5,Modest,5.8%,Sp. Atk,Attack,,,,,,
Simisage,232,stat_points,1,,28.2%,,,2,32,0,0,0,32
Simisage,232,stat_points,2,,21.9%,,,1,0,1,0,32,32
Simisage,232,stat_points,3,,10.4%,,,0,0,0,32,32,2
Simisage,232,stat_points,4,,8.4%,,,0,32,2,0,0,32
Simisage,232,stat_points,5,,4.3%,,,2,0,0,32,0,32
Simisage,232,stat_points,6,,4.3%,,,4,32,0,0,0,20
Simisage,232,stat_points,7,,2.9%,,,0,32,0,0,2,32
Simisage,232,stat_points,8,,2.9%,,,20,0,0,14,0,32
Simisage,232,stat_points,9,,2.6%,,,1,32,1,0,0,32
Simisage,232,stat_points,10,,2.3%,,,0,0,0,32,2,32
Simisage,232,stat_points,11,,1.7%,,,0,32,17,0,0,17
Simisage,232,ability,1,Overgrow,78.7%,,,,,,,,
Simisage,232,ability,2,Gluttony,21.3%,,,,,,,,
