pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Simisear,233,move,1,Fake Out,93.5%,,,,,,,,
Simisear,233,move,2,Heat Wave,45.7%,,,,,,,,
Simisear,233,move,3,Protect,32.1%,,,,,,,,
Simisear,233,move,4,Sunny Day,23.8%,,,,,,,,
Simisear,233,move,5,Yawn,21.0%,,,,,,,,
Simisear,233,move,6,Grass Knot,19.8%,,,,,,,,
Simisear,233,move,7,Flamethrower,19.8%,,,,,,,,
Simisear,233,move,8,Rock Slide,19.4%,,,,,,,,
Simisear,233,move,9,Taunt,18.8%,,,,,,,,
Simisear,233,move,10,Flare Blitz,13.6%,,,,,,,,
Simisear,233,held_item,1,Focus Sash,43.8%,,,,,,,,
Simisear,233,held_item,2,Charcoal,16.7%,,,,,,,,
Simisear,233,held_item,3,Sitrus Berry,9.6%,,,,,,,,
Simisear,233,held_item,4,Life Orb,7.7%,,,,,,,,
Simisear,233,held_item,5,Leftovers,4.9%,,,,,,,,
Simisear,233,held_item,6,Expert Belt,4.6%,,,,,,,,
Simisear,233,held_item,7,Heat Rock,4.6%,,,,,,,,
Simisear,233,held_item,8,King's Rock,4.3%,,,,,,,,
Simisear,233,held_item,9,Shuca Berry,1.2%,,,,,,,,
Simisear,233,held_item,10,Metronome,1.2%,,,,,,,,
Simisear,233,teammate,1,Whimsicott,,,,,,,,,
Simisear,233,teammate,2,Charizard,,,,,,,,,
Simisear,233,teammate,3,Garchomp,,,,,,,,,
Simisear,233,teammate,4,Sneasler,,,,,,,,,
Simisear,233,teammate,5,Staraptor,,,,,,,,,
Simisear,233,teammate,6,Basculegion Male,,,,,,,,,
Simisear,233,teammate,7,Raichu,,,,,,,,,
Simisear,233,teammate,8,Torkoal,,,,,,,,,
Simisear,233,teammate,9,Simipour,,,,,,,,,
Simisear,233,teammate,10,Simisage,,,,,,,,,
Simisear,233,stat_alignment,1,Timid,42.6%,Speed,Attack,,,,,,
Simisear,233,stat_alignment,2,Jolly,22.5%,Speed,Sp. Atk,,,,,,
Simisear,233,stat_alignment,3,Hasty,11.7%,Speed,Defense,,,,,,
Simisear,233,stat_alignment,4,Rash,11.4%,Sp. Atk,Sp. Def,,,,,,
Simisear,233,stat_alignment,5,Naive,5.6%,Speed,Sp. Def,,,,,,
Simisear,233,stat_alignment,6,Naive,5.6%,Speed,Sp. Def,,,,,,
Simisear,233,stat_alignment,7,Modest,4.9%,Sp. Atk,Attack,,,,,,
Simisear,233,stat_alignment,8,Adamant,0.9%,Attack,Sp. Atk,,,,,,
Simisear,233,stat_alignment,9,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Simisear,233,stat_points,1,,31.5%,,,2,0,0,32,0,32
Simisear,233,stat_points,2,,18.2%,,,1,0,0,32,1,32
Simisear,233,stat_points,3,,12.3%,,,0,0,0,32,2,32
Simisear,233,stat_points,4,,8.6%,,,0,32,2,0,0,32
Simisear,233,stat_points,5,,4.0%,,,32,0,0,17,5,12
Simisear,233,stat_points,6,,3.7%,,,6,32,6,0,6,16
Simisear,233,stat_points,7,,3.7%,,,10,4,9,19,21,3
Simisear,233,stat_points,8,,2.8%,,,2,32,0,0,0,32
Simisear,233,stat_points,9,,2.5%,,,0,32,1,0,0,32
Simisear,233,stat_points,10,,2.5%,,,1,32,1,0,0,32
Simisear,233,ability,1,Blaze,94.4%,,,,,,,,
Simisear,233,ability,2,Gluttony,5.6%,,,,,,,,
