pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sinistcha,4,move,1,Matcha Gotcha,98.9%,,,,,,,,
Sinistcha,4,move,2,Rage Powder,96.4%,,,,,,,,
Sinistcha,4,move,3,Trick Room,59.0%,,,,,,,,
Sinistcha,4,move,4,Life Dew,54.7%,,,,,,,,
Sinistcha,4,move,5,Protect,31.7%,,,,,,,,
Sinistcha,4,move,6,Strength Sap,16.5%,,,,,,,,
Sinistcha,4,move,7,Shadow Ball,14.9%,,,,,,,,
Sinistcha,4,move,8,Imprison,2.3%,,,,,,,,
Sinistcha,4,move,9,Scald,0.8%,,,,,,,,
Sinistcha,4,move,10,Psych Up,0.7%,,,,,,,,
Sinistcha,4,held_item,1,Sitrus Berry,32.7%,,,,,,,,
Sinistcha,4,held_item,2,Kasib Berry,25.2%,,,,,,,,
Sinistcha,4,held_item,3,Leftovers,13.2%,,,,,,,,
Sinistcha,4,held_item,4,Colbur Berry,7.7%,,,,,,,,
Sinistcha,4,held_item,5,Coba Berry,7.1%,,,,,,,,
Sinistcha,4,held_item,6,Occa Berry,3.6%,,,,,,,,
Sinistcha,4,held_item,7,Focus Sash,3.3%,,,,,,,,
Sinistcha,4,held_item,8,Big Root,2.1%,,,,,,,,
Sinistcha,4,held_item,9,Bright Powder,1.5%,,,,,,,,
Sinistcha,4,held_item,10,Mental Herb,0.8%,,,,,,,,
Sinistcha,4,teammate,1,Incineroar,,,,,,,,,
Sinistcha,4,teammate,2,Pelipper,,,,,,,,,
Sinistcha,4,teammate,3,Archaludon,,,,,,,,,
Sinistcha,4,teammate,4,Swampert,,,,,,,,,
Sinistcha,4,teammate,5,Staraptor,,,,,,,,,
Sinistcha,4,teammate,6,Grimmsnarl,,,,,,,,,
Sinistcha,4,teammate,7,Garchomp,,,,,,,,,
Sinistcha,4,teammate,8,Basculegion Male,,,,,,,,,
Sinistcha,4,teammate,9,Sneasler,,,,,,,,,
Sinistcha,4,teammate,10,Whimsicott,,,,,,,,,
Sinistcha,4,stat_alignment,1,Bold,44.9%,Defense,Attack,,,,,,
Sinistcha,4,stat_alignment,2,Calm,23.9%,Sp. Def,Attack,,,,,,
Sinistcha,4,stat_alignment,3,Relaxed,10.2%,Defense,Speed,,,,,,
Sinistcha,4,stat_alignment,4,Modest,8.3%,Sp. Atk,Attack,,,,,,
Sinistcha,4,stat_alignment,5,Sassy,7.8%,Sp. Def,Speed,,,,,,
Sinistcha,4,stat_alignment,6,Quiet,3.0%,Sp. Atk,Speed,,,,,,
Sinistcha,4,stat_alignment,7,Timid,1.2%,Speed,Attack,,,,,,
Sinistcha,4,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Sinistcha,4,stat_alignment,9,Gentle,0.1%,Sp. Def,Defense,,,,,,
Sinistcha,4,stat_alignment,10,Impish,0.1%,Defense,Sp. Atk,,,,,,
Sinistcha,4,stat_points,1,,19.4%,,,32,0,14,0,20,0
Sinistcha,4,stat_points,2,,8.7%,,,32,0,4,0,30,0
Sinistcha,4,stat_points,3,,5.1%,,,32,0,2,0,32,0
Sinistcha,4,stat_points,4,,4.2%,,,31,0,14,0,21,0
Sinistcha,4,stat_points,5,,3.6%,,,32,0,24,0,10,0
Sinistcha,4,stat_points,6,,2.9%,,,32,0,32,0,2,0
Sinistcha,4,stat_points,7,,2.8%,,,31,0,7,0,28,0
Sinistcha,4,stat_points,8,,2.7%,,,32,0,16,0,18,0
Sinistcha,4,stat_points,9,,2.2%,,,31,0,15,0,20,0
Sinistcha,4,stat_points,10,,1.8%,,,32,0,7,0,27,0
Sinistcha,4,stat_points,11,,1.7%,,,32,0,2,32,0,0
Sinistcha,4,stat_points,12,,1.6%,,,32,0,0,32,2,0
Sinistcha,4,ability,1,Hospitality,99.3%,,,,,,,,
Sinistcha,4,ability,2,Heatproof,0.7%,,,,,,,,
