pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Skarmory,137,move,1,Iron Head,86.3%,,,,,,,,
Skarmory,137,move,2,Brave Bird,77.6%,,,,,,,,
Skarmory,137,move,3,Protect,59.7%,,,,,,,,
Skarmory,137,move,4,Tailwind,34.1%,,,,,,,,
Skarmory,137,move,5,Swords Dance,22.9%,,,,,,,,
Skarmory,137,move,6,Rock Tomb,16.1%,,,,,,,,
Skarmory,137,move,7,Rock Slide,15.2%,,,,,,,,
Skarmory,137,move,8,Body Press,14.6%,,,,,,,,
Skarmory,137,move,9,Roost,14.0%,,,,,,,,
Skarmory,137,move,10,Drill Run,9.7%,,,,,,,,
Skarmory,137,held_item,1,Skarmorite,73.6%,,,,,,,,
Skarmory,137,held_item,2,Leftovers,7.5%,,,,,,,,
Skarmory,137,held_item,3,Sitrus Berry,3.9%,,,,,,,,
Skarmory,137,held_item,4,Quick Claw,1.7%,,,,,,,,
Skarmory,137,held_item,5,Occa Berry,1.6%,,,,,,,,
Skarmory,137,held_item,6,Metal Coat,1.3%,,,,,,,,
Skarmory,137,held_item,7,Muscle Band,1.1%,,,,,,,,
Skarmory,137,held_item,8,Bright Powder,0.9%,,,,,,,,
Skarmory,137,held_item,9,Lum Berry,0.9%,,,,,,,,
Skarmory,137,held_item,10,Sharp Beak,0.7%,,,,,,,,
Skarmory,137,teammate,1,Garchomp,,,,,,,,,
Skarmory,137,teammate,2,Sinistcha,,,,,,,,,
Skarmory,137,teammate,3,Whimsicott,,,,,,,,,
Skarmory,137,teammate,4,Incineroar,,,,,,,,,
Skarmory,137,teammate,5,Tyranitar,,,,,,,,,
Skarmory,137,teammate,6,Farigiraf,,,,,,,,,
Skarmory,137,teammate,7,Sylveon,,,,,,,,,
Skarmory,137,teammate,8,Sneasler,,,,,,,,,
Skarmory,137,teammate,9,Pelipper,,,,,,,,,
Skarmory,137,teammate,10,Basculegion Male,,,,,,,,,
Skarmory,137,stat_alignment,1,Jolly,41.4%,Speed,Sp. Atk,,,,,,
Skarmory,137,stat_alignment,2,Adamant,39.7%,Attack,Sp. Atk,,,,,,
Skarmory,137,stat_alignment,3,Impish,9.9%,Defense,Sp. Atk,,,,,,
Skarmory,137,stat_alignment,4,Careful,4.6%,Sp. Def,Sp. Atk,,,,,,
Skarmory,137,stat_alignment,5,Bold,1.1%,Defense,Attack,,,,,,
Skarmory,137,stat_alignment,6,Brave,0.9%,Attack,Speed,,,,,,
Skarmory,137,stat_alignment,7,Naughty,0.8%,Attack,Sp. Def,,,,,,
Skarmory,137,stat_alignment,8,Sassy,0.4%,Sp. Def,Speed,,,,,,
Skarmory,137,stat_alignment,9,Naive,0.4%,Speed,Sp. Def,,,,,,
Skarmory,137,stat_alignment,10,Relaxed,0.4%,Defense,Speed,,,,,,
Skarmory,137,stat_points,1,,27.9%,,,2,32,0,0,0,32
Skarmory,137,stat_points,2,,10.0%,,,9,32,0,0,0,25
Skarmory,137,stat_points,3,,6.5%,,,0,32,0,0,2,32
Skarmory,137,stat_points,4,,3.6%,,,1,32,0,0,1,32
Skarmory,137,stat_points,5,,3.3%,,,32,32,0,0,2,0
Skarmory,137,stat_points,6,,2.7%,,,0,32,2,0,0,32
Skarmory,137,stat_points,7,,2.3%,,,32,2,0,0,0,32
Skarmory,137,stat_points,8,,2.2%,,,32,32,2,0,0,0
Skarmory,137,stat_points,9,,2.1%,,,2,32,32,0,0,0
Skarmory,137,stat_points,10,,1.7%,,,0,32,0,0,0,32
Skarmory,137,stat_points,11,,1.7%,,,32,0,32,0,0,2
Skarmory,137,stat_points,12,,1.6%,,,32,0,32,0,2,0
Skarmory,137,ability,1,Sturdy,69.2%,,,,,,,,
Skarmory,137,ability,2,Weak Armor,25.6%,,,,,,,,
Skarmory,137,ability,3,Keen Eye,5.2%,,,,,,,,
