pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Skeledirge,106,move,1,Torch Song,96.5%,,,,,,,,
Skeledirge,106,move,2,Shadow Ball,70.8%,,,,,,,,
Skeledirge,106,move,3,Protect,59.4%,,,,,,,,
Skeledirge,106,move,4,Slack Off,42.3%,,,,,,,,
Skeledirge,106,move,5,Will-O-Wisp,31.8%,,,,,,,,
Skeledirge,106,move,6,Earth Power,22.9%,,,,,,,,
Skeledirge,106,move,7,Alluring Voice,14.7%,,,,,,,,
Skeledirge,106,move,8,Heat Wave,14.3%,,,,,,,,
Skeledirge,106,move,9,Hex,10.9%,,,,,,,,
Skeledirge,106,move,10,Yawn,0.9%,,,,,,,,
Skeledirge,106,held_item,1,Leftovers,39.5%,,,,,,,,
Skeledirge,106,held_item,2,Sitrus Berry,23.0%,,,,,,,,
Skeledirge,106,held_item,3,Charcoal,9.0%,,,,,,,,
Skeledirge,106,held_item,4,Life Orb,6.3%,,,,,,,,
Skeledirge,106,held_item,5,Quick Claw,3.7%,,,,,,,,
Skeledirge,106,held_item,6,Colbur Berry,3.1%,,,,,,,,
Skeledirge,106,held_item,7,Wise Glasses,2.1%,,,,,,,,
Skeledirge,106,held_item,8,Shell Bell,2.0%,,,,,,,,
Skeledirge,106,held_item,9,Metronome,1.8%,,,,,,,,
Skeledirge,106,held_item,10,Expert Belt,1.3%,,,,,,,,
Skeledirge,106,teammate,1,Sinistcha,,,,,,,,,
Skeledirge,106,teammate,2,Farigiraf,,,,,,,,,
Skeledirge,106,teammate,3,Garchomp,,,,,,,,,
Skeledirge,106,teammate,4,Whimsicott,,,,,,,,,
Skeledirge,106,teammate,6,Staraptor,,,,,,,,,
Skeledirge,106,teammate,7,Raichu,,,,,,,,,
Skeledirge,106,teammate,8,Kingambit,,,,,,,,,
Skeledirge,106,teammate,9,Basculegion Male,,,,,,,,,
Skeledirge,106,teammate,10,Metagross,,,,,,,,,
Skeledirge,106,stat_alignment,1,Modest,39.2%,Sp. Atk,Attack,,,,,,
Skeledirge,106,stat_alignment,2,Bold,23.1%,Defense,Attack,,,,,,
Skeledirge,106,stat_alignment,3,Quiet,17.0%,Sp. Atk,Speed,,,,,,
Skeledirge,106,stat_alignment,4,Calm,11.3%,Sp. Def,Attack,,,,,,
Skeledirge,106,stat_alignment,5,Relaxed,3.6%,Defense,Speed,,,,,,
Skeledirge,106,stat_alignment,6,Timid,2.4%,Speed,Attack,,,,,,
Skeledirge,106,stat_alignment,7,Sassy,2.3%,Sp. Def,Speed,,,,,,
Skeledirge,106,stat_alignment,8,Mild,0.4%,Sp. Atk,Defense,,,,,,
Skeledirge,106,stat_alignment,9,Naive,0.2%,Speed,Sp. Def,,,,,,
Skeledirge,106,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Skeledirge,106,stat_points,1,,13.9%,,,32,0,0,32,2,0
Skeledirge,106,stat_points,2,,7.5%,,,32,0,2,32,0,0
Skeledirge,106,stat_points,3,,5.3%,,,32,0,32,2,0,0
Skeledirge,106,stat_points,4,,4.9%,,,32,0,32,0,2,0
Skeledirge,106,stat_points,5,,3.1%,,,32,0,2,0,32,0
Skeledirge,106,stat_points,6,,2.8%,,,2,0,32,32,0,0
Skeledirge,106,stat_points,7,,2.4%,,,32,0,0,32,0,2
Skeledirge,106,stat_points,8,,2.2%,,,2,0,0,32,32,0
Skeledirge,106,stat_points,9,,1.6%,,,0,0,2,32,32,0
Skeledirge,106,stat_points,10,,1.5%,,,2,0,0,32,0,32
Skeledirge,106,stat_points,11,,1.5%,,,32,0,9,0,25,0
Skeledirge,106,stat_points,12,,1.4%,,,32,0,0,2,32,0
Skeledirge,106,ability,1,Unaware,95.3%,,,,,,,,
Skeledirge,106,ability,2,Blaze,4.7%,,,,,,,,
