pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Slowbro,139,move,1,Scald,54.4%,,,,,,,,
Slowbro,139,move,2,Trick Room,54.0%,,,,,,,,
Slowbro,139,move,3,Psychic,40.0%,,,,,,,,
Slowbro,139,move,4,Slack Off,36.3%,,,,,,,,
Slowbro,139,move,5,Protect,28.0%,,,,,,,,
Slowbro,139,move,6,Body Press,18.6%,,,,,,,,
Slowbro,139,move,7,Ice Beam,17.9%,,,,,,,,
Slowbro,139,move,8,Calm Mind,14.3%,,,,,,,,
Slowbro,139,move,9,Iron Defense,12.8%,,,,,,,,
Slowbro,139,move,10,Muddy Water,11.1%,,,,,,,,
Slowbro,139,held_item,1,Slowbronite,54.3%,,,,,,,,
Slowbro,139,held_item,2,Leftovers,18.1%,,,,,,,,
Slowbro,139,held_item,3,Sitrus Berry,10.1%,,,,,,,,
Slowbro,139,held_item,4,Mental Herb,3.3%,,,,,,,,
Slowbro,139,held_item,5,Focus Sash,2.9%,,,,,,,,
Slowbro,139,held_item,6,Colbur Berry,2.0%,,,,,,,,
Slowbro,139,held_item,7,Life Orb,1.2%,,,,,,,,
Slowbro,139,held_item,8,Iron Ball,1.0%,,,,,,,,
Slowbro,139,held_item,9,Rindo Berry,0.9%,,,,,,,,
Slowbro,139,held_item,10,Mystic Water,0.9%,,,,,,,,
Slowbro,139,teammate,1,Farigiraf,,,,,,,,,
Slowbro,139,teammate,2,Sinistcha,,,,,,,,,
Slowbro,139,teammate,3,Torkoal,,,,,,,,,
Slowbro,139,teammate,4,Incineroar,,,,,,,,,
Slowbro,139,teammate,5,Kingambit,,,,,,,,,
Slowbro,139,teammate,6,Sylveon,,,,,,,,,
Slowbro,139,teammate,7,Staraptor,,,,,,,,,
Slowbro,139,teammate,8,Grimmsnarl,,,,,,,,,
Slowbro,139,teammate,9,Tyranitar,,,,,,,,,
Slowbro,139,teammate,10,Mawile,,,,,,,,,
Slowbro,139,stat_alignment,1,Quiet,25.4%,Sp. Atk,Speed,,,,,,
Slowbro,139,stat_alignment,2,Bold,18.4%,Defense,Attack,,,,,,
Slowbro,139,stat_alignment,3,Relaxed,17.0%,Defense,Speed,,,,,,
Slowbro,139,stat_alignment,4,Sassy,12.4%,Sp. Def,Speed,,,,,,
Slowbro,139,stat_alignment,5,Modest,11.4%,Sp. Atk,Attack,,,,,,
Slowbro,139,stat_alignment,6,Calm,9.8%,Sp. Def,Attack,,,,,,
Slowbro,139,stat_alignment,7,Impish,4.3%,Defense,Sp. Atk,,,,,,
Slowbro,139,stat_alignment,8,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Slowbro,139,stat_alignment,9,Brave,0.3%,Attack,Speed,,,,,,
Slowbro,139,stat_alignment,10,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Slowbro,139,stat_points,1,,10.5%,,,32,0,2,0,32,0
Slowbro,139,stat_points,2,,9.9%,,,32,0,0,32,2,0
Slowbro,139,stat_points,3,,7.0%,,,32,0,32,0,2,0
Slowbro,139,stat_points,4,,5.7%,,,2,0,32,32,0,0
Slowbro,139,stat_points,5,,5.5%,,,32,0,2,32,0,0
Slowbro,139,stat_points,6,,4.2%,,,31,5,0,0,30,0
Slowbro,139,stat_points,7,,3.3%,,,0,0,2,32,32,0
Slowbro,139,stat_points,8,,2.8%,,,32,0,0,2,32,0
Slowbro,139,stat_points,9,,2.5%,,,2,0,0,32,32,0
Slowbro,139,stat_points,10,,2.4%,,,2,0,32,0,32,0
Slowbro,139,ability,1,Regenerator,59.5%,,,,,,,,
Slowbro,139,ability,2,Oblivious,36.6%,,,,,,,,
Slowbro,139,ability,3,Own Tempo,3.9%,,,,,,,,
