pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Spiritomb,124,move,1,Trick Room,87.5%,,,,,,,,
Spiritomb,124,move,2,Will-O-Wisp,56.1%,,,,,,,,
Spiritomb,124,move,3,Foul Play,51.0%,,,,,,,,
Spiritomb,124,move,4,Snarl,36.8%,,,,,,,,
Spiritomb,124,move,5,Pain Split,18.1%,,,,,,,,
Spiritomb,124,move,6,Ally Switch,16.5%,,,,,,,,
Spiritomb,124,move,7,Protect,15.8%,,,,,,,,
Spiritomb,124,move,8,Destiny Bond,12.1%,,,,,,,,
Spiritomb,124,move,9,Helping Hand,11.9%,,,,,,,,
Spiritomb,124,move,10,Sucker Punch,1.4%,,,,,,,,
Spiritomb,124,held_item,1,Roseli Berry,28.6%,,,,,,,,
Spiritomb,124,held_item,2,Sitrus Berry,24.8%,,,,,,,,
Spiritomb,124,held_item,3,Leftovers,23.2%,,,,,,,,
Spiritomb,124,held_item,4,Mental Herb,7.3%,,,,,,,,
Spiritomb,124,held_item,5,Focus Sash,3.3%,,,,,,,,
Spiritomb,124,held_item,6,Black Glasses,3.3%,,,,,,,,
Spiritomb,124,held_item,7,Bright Powder,2.1%,,,,,,,,
Spiritomb,124,held_item,8,Wide Lens,1.4%,,,,,,,,
Spiritomb,124,held_item,9,Life Orb,0.8%,,,,,,,,
Spiritomb,124,held_item,10,Quick Claw,0.8%,,,,,,,,
Spiritomb,124,teammate,1,Mawile,,,,,,,,,
Spiritomb,124,teammate,2,Torkoal,,,,,,,,,
Spiritomb,124,teammate,3,Sinistcha,,,,,,,,,
Spiritomb,124,teammate,4,Sylveon,,,,,,,,,
Spiritomb,124,teammate,5,Incineroar,,,,,,,,,
Spiritomb,124,teammate,6,Farigiraf,,,,,,,,,
Spiritomb,124,teammate,7,Kingambit,,,,,,,,,
Spiritomb,124,teammate,8,Milotic,,,,,,,,,
Spiritomb,124,teammate,9,Metagross,,,,,,,,,
Spiritomb,124,teammate,10,Hatterene,,,,,,,,,
Spiritomb,124,stat_alignment,1,Sassy,38.7%,Sp. Def,Speed,,,,,,
Spiritomb,124,stat_alignment,2,Relaxed,22.4%,Defense,Speed,,,,,,
Spiritomb,124,stat_alignment,3,Calm,8.0%,Sp. Def,Attack,,,,,,
Spiritomb,124,stat_alignment,4,Quiet,6.4%,Sp. Atk,Speed,,,,,,
Spiritomb,124,stat_alignment,5,Brave,6.0%,Attack,Speed,,,,,,
Spiritomb,124,stat_alignment,6,Bold,4.8%,Defense,Attack,,,,,,
Spiritomb,124,stat_alignment,7,Adamant,3.8%,Attack,Sp. Atk,,,,,,
Spiritomb,124,stat_alignment,8,Impish,3.5%,Defense,Sp. Atk,,,,,,
Spiritomb,124,stat_alignment,9,Careful,2.8%,Sp. Def,Sp. Atk,,,,,,
Spiritomb,124,stat_alignment,10,Modest,2.3%,Sp. Atk,Attack,,,,,,
Spiritomb,124,stat_points,1,,15.1%,,,32,0,2,0,32,0
Spiritomb,124,stat_points,2,,10.4%,,,32,0,12,0,22,0
Spiritomb,124,stat_points,3,,8.3%,,,32,0,32,0,2,0
Spiritomb,124,stat_points,4,,5.0%,,,32,0,22,0,12,0
Spiritomb,124,stat_points,5,,4.9%,,,2,0,32,0,32,0
Spiritomb,124,stat_points,6,,4.3%,,,32,0,17,0,17,0
Spiritomb,124,stat_points,7,,2.4%,,,32,0,16,0,18,0
Spiritomb,124,stat_points,8,,1.8%,,,0,32,32,0,2,0
Spiritomb,124,stat_points,9,,1.7%,,,32,0,23,0,11,0
Spiritomb,124,stat_points,10,,1.7%,,,0,32,2,0,32,0
Spiritomb,124,stat_points,11,,1.7%,,,0,0,32,0,32,0
Spiritomb,124,stat_points,12,,1.3%,,,32,0,20,0,14,0
Spiritomb,124,ability,1,Infiltrator,70.0%,,,,,,,,
Spiritomb,124,ability,2,Pressure,30.0%,,,,,,,,
