pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Staraptor,9,move,1,Close Combat,95.1%,,,,,,,,
Staraptor,9,move,2,Brave Bird,84.8%,,,,,,,,
Staraptor,9,move,3,Protect,79.0%,,,,,,,,
Staraptor,9,move,4,Roost,71.3%,,,,,,,,
Staraptor,9,move,5,Final Gambit,18.0%,,,,,,,,
Staraptor,9,move,6,U-turn,15.3%,,,,,,,,
Staraptor,9,move,7,Dual Wingbeat,14.4%,,,,,,,,
Staraptor,9,move,8,Tailwind,6.4%,,,,,,,,
Staraptor,9,move,9,Blaze Kick,4.9%,,,,,,,,
Staraptor,9,move,10,Quick Attack,2.2%,,,,,,,,
Staraptor,9,held_item,1,Staraptite,82.4%,,,,,,,,
Staraptor,9,held_item,2,Choice Scarf,16.7%,,,,,,,,
Staraptor,9,held_item,3,Focus Sash,0.2%,,,,,,,,
Staraptor,9,held_item,4,Sitrus Berry,0.1%,,,,,,,,
Staraptor,9,held_item,5,Life Orb,0.1%,,,,,,,,
Staraptor,9,held_item,6,Quick Claw,0.1%,,,,,,,,
Staraptor,9,held_item,7,Sharp Beak,0.1%,,,,,,,,
Staraptor,9,held_item,8,Leftovers,0.0%,,,,,,,,
Staraptor,9,held_item,9,White Herb,0.0%,,,,,,,,
Staraptor,9,held_item,10,Expert Belt,0.0%,,,,,,,,
Staraptor,9,teammate,1,Whimsicott,,,,,,,,,
Staraptor,9,teammate,2,Garchomp,,,,,,,,,
Staraptor,9,teammate,3,Sinistcha,,,,,,,,,
Staraptor,9,teammate,4,Basculegion Male,,,,,,,,,
Staraptor,9,teammate,6,Incineroar,,,,,,,,,
Staraptor,9,teammate,7,Gholdengo,,,,,,,,,
Staraptor,9,teammate,8,Kingambit,,,,,,,,,
Staraptor,9,teammate,9,Farigiraf,,,,,,,,,
Staraptor,9,teammate,10,Sylveon,,,,,,,,,
Staraptor,9,stat_alignment,1,Jolly,76.1%,Speed,Sp. Atk,,,,,,
Staraptor,9,stat_alignment,2,Adamant,19.8%,Attack,Sp. Atk,,,,,,
Staraptor,9,stat_alignment,3,Careful,1.7%,Sp. Def,Sp. Atk,,,,,,
Staraptor,9,stat_alignment,4,Impish,0.5%,Defense,Sp. Atk,,,,,,
Staraptor,9,stat_alignment,5,Brave,0.3%,Attack,Speed,,,,,,
Staraptor,9,stat_alignment,6,Naughty,0.3%,Attack,Sp. Def,,,,,,
Staraptor,9,stat_alignment,7,Lonely,0.3%,Attack,Defense,,,,,,
Staraptor,9,stat_alignment,8,Naive,0.3%,Speed,Sp. Def,,,,,,
Staraptor,9,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Staraptor,9,stat_alignment,10,Timid,0.2%,Speed,Attack,,,,,,
Staraptor,9,stat_points,1,,27.2%,,,2,32,0,0,0,32
Staraptor,9,stat_points,2,,16.9%,,,32,2,0,0,0,32
Staraptor,9,stat_points,3,,3.5%,,,0,32,0,0,2,32
Staraptor,9,stat_points,4,,3.2%,,,32,0,0,0,2,32
Staraptor,9,stat_points,5,,3.0%,,,1,19,4,0,0,32
Staraptor,9,stat_points,6,,2.1%,,,0,32,2,0,0,32
Staraptor,9,stat_points,7,,1.8%,,,32,32,0,0,0,2
Staraptor,9,stat_points,8,,1.7%,,,31,6,1,0,0,28
Staraptor,9,stat_points,9,,1.4%,,,32,0,0,0,0,32
Staraptor,9,stat_points,10,,1.3%,,,32,4,0,0,0,30
Staraptor,9,stat_points,11,,1.3%,,,31,10,0,0,0,25
Staraptor,9,ability,1,Intimidate,97.1%,,,,,,,,
Staraptor,9,ability,2,Reckless,2.9%,,,,,,,,
