pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Starmie,79,move,1,Liquidation,74.4%,,,,,,,,
Starmie,79,move,2,Ice Spinner,56.1%,,,,,,,,
Starmie,79,move,3,Aqua Jet,55.5%,,,,,,,,
Starmie,79,move,4,Protect,55.4%,,,,,,,,
Starmie,79,move,5,Zen Headbutt,26.8%,,,,,,,,
Starmie,79,move,6,Psycho Cut,24.3%,,,,,,,,
Starmie,79,move,7,Flip Turn,24.3%,,,,,,,,
Starmie,79,move,8,Self-Destruct,15.2%,,,,,,,,
Starmie,79,move,9,Psychic,8.8%,,,,,,,,
Starmie,79,move,10,Ice Beam,7.9%,,,,,,,,
Starmie,79,held_item,1,Starminite,86.8%,,,,,,,,
Starmie,79,held_item,2,Life Orb,2.6%,,,,,,,,
Starmie,79,held_item,3,Focus Sash,1.9%,,,,,,,,
Starmie,79,held_item,4,Choice Scarf,1.8%,,,,,,,,
Starmie,79,held_item,5,Expert Belt,1.7%,,,,,,,,
Starmie,79,held_item,6,Mystic Water,0.8%,,,,,,,,
Starmie,79,held_item,7,Bright Powder,0.6%,,,,,,,,
Starmie,79,held_item,8,Sitrus Berry,0.5%,,,,,,,,
Starmie,79,held_item,9,Leftovers,0.4%,,,,,,,,
Starmie,79,held_item,10,Wise Glasses,0.4%,,,,,,,,
Starmie,79,teammate,1,Pelipper,,,,,,,,,
Starmie,79,teammate,2,Whimsicott,,,,,,,,,
Starmie,79,teammate,3,Sneasler,,,,,,,,,
Starmie,79,teammate,4,Archaludon,,,,,,,,,
Starmie,79,teammate,5,Sinistcha,,,,,,,,,
Starmie,79,teammate,6,Garchomp,,,,,,,,,
Starmie,79,teammate,7,Kingambit,,,,,,,,,
Starmie,79,teammate,8,Incineroar,,,,,,,,,
Starmie,79,teammate,9,Raichu,,,,,,,,,
Starmie,79,teammate,10,Basculegion Male,,,,,,,,,
Starmie,79,stat_alignment,1,Adamant,59.2%,Attack,Sp. Atk,,,,,,
Starmie,79,stat_alignment,2,Jolly,24.3%,Speed,Sp. Atk,,,,,,
Starmie,79,stat_alignment,3,Timid,8.0%,Speed,Attack,,,,,,
Starmie,79,stat_alignment,4,Modest,4.3%,Sp. Atk,Attack,,,,,,
Starmie,79,stat_alignment,5,Brave,0.7%,Attack,Speed,,,,,,
Starmie,79,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Starmie,79,stat_alignment,7,Hasty,0.6%,Speed,Defense,,,,,,
Starmie,79,stat_alignment,8,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Starmie,79,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Starmie,79,stat_alignment,10,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Starmie,79,stat_points,1,,68.6%,,,2,32,0,0,0,32
Starmie,79,stat_points,2,,7.2%,,,2,0,0,32,0,32
Starmie,79,stat_points,3,,1.3%,,,1,32,0,0,1,32
Starmie,79,stat_points,4,,1.1%,,,32,32,0,0,0,2
Starmie,79,stat_points,5,,1.1%,,,0,32,0,0,0,32
Starmie,79,stat_points,6,,1.0%,,,0,32,2,0,0,32
Starmie,79,stat_points,7,,1.0%,,,0,32,0,0,2,32
Starmie,79,stat_points,8,,0.9%,,,1,32,1,0,0,32
Starmie,79,stat_points,9,,0.7%,,,0,0,0,32,0,32
Starmie,79,stat_points,10,,0.6%,,,0,0,2,32,0,32
Starmie,79,stat_points,11,,0.5%,,,32,32,2,0,0,0
Starmie,79,stat_points,12,,0.5%,,,0,32,1,0,1,32
Starmie,79,ability,1,Natural Cure,82.5%,,,,,,,,
Starmie,79,ability,2,Illuminate,9.3%,,,,,,,,
Starmie,79,ability,3,Analytic,8.1%,,,,,,,,
