pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Stunfisk,205,move,1,Earth Power,82.4%,,,,,,,,
Stunfisk,205,move,2,Thunderbolt,82.2%,,,,,,,,
Stunfisk,205,move,3,Protect,62.1%,,,,,,,,
Stunfisk,205,move,4,Sludge Bomb,39.0%,,,,,,,,
Stunfisk,205,move,5,Yawn,16.2%,,,,,,,,
Stunfisk,205,move,6,Rain Dance,11.8%,,,,,,,,
Stunfisk,205,move,7,Foul Play,11.8%,,,,,,,,
Stunfisk,205,move,8,Muddy Water,11.4%,,,,,,,,
Stunfisk,205,move,9,Discharge,11.1%,,,,,,,,
Stunfisk,205,move,10,Electroweb,10.1%,,,,,,,,
Stunfisk,205,held_item,1,Focus Sash,17.2%,,,,,,,,
Stunfisk,205,held_item,2,Leftovers,16.1%,,,,,,,,
Stunfisk,205,held_item,3,Sitrus Berry,15.2%,,,,,,,,
Stunfisk,205,held_item,4,Expert Belt,13.3%,,,,,,,,
Stunfisk,205,held_item,5,Quick Claw,11.1%,,,,,,,,
Stunfisk,205,held_item,6,Life Orb,6.5%,,,,,,,,
Stunfisk,205,held_item,7,Bright Powder,5.5%,,,,,,,,
Stunfisk,205,held_item,8,Passho Berry,3.3%,,,,,,,,
Stunfisk,205,held_item,9,Soft Sand,2.7%,,,,,,,,
Stunfisk,205,held_item,10,Magnet,1.8%,,,,,,,,
Stunfisk,205,teammate,1,Farigiraf,,,,,,,,,
Stunfisk,205,teammate,2,Sinistcha,,,,,,,,,
Stunfisk,205,teammate,3,Tyranitar,,,,,,,,,
Stunfisk,205,teammate,4,Scrafty,,,,,,,,,
Stunfisk,205,teammate,5,Sableye,,,,,,,,,
Stunfisk,205,teammate,6,Incineroar,,,,,,,,,
Stunfisk,205,teammate,7,Vanilluxe,,,,,,,,,
Stunfisk,205,teammate,8,Mawile,,,,,,,,,
Stunfisk,205,teammate,9,Kingambit,,,,,,,,,
Stunfisk,205,teammate,10,Archaludon,,,,,,,,,
Stunfisk,205,stat_alignment,1,Modest,41.1%,Sp. Atk,Attack,,,,,,
Stunfisk,205,stat_alignment,2,Quiet,38.7%,Sp. Atk,Speed,,,,,,
Stunfisk,205,stat_alignment,3,Relaxed,6.8%,Defense,Speed,,,,,,
Stunfisk,205,stat_alignment,4,Timid,4.2%,Speed,Attack,,,,,,
Stunfisk,205,stat_alignment,5,Bold,3.7%,Defense,Attack,,,,,,
Stunfisk,205,stat_alignment,6,Sassy,3.2%,Sp. Def,Speed,,,,,,
Stunfisk,205,stat_alignment,7,Calm,1.8%,Sp. Def,Attack,,,,,,
Stunfisk,205,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Stunfisk,205,stat_alignment,9,Gentle,0.2%,Sp. Def,Defense,,,,,,
Stunfisk,205,stat_alignment,10,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Stunfisk,205,stat_points,1,,24.9%,,,32,0,2,32,0,0
Stunfisk,205,stat_points,2,,12.5%,,,32,0,0,32,2,0
Stunfisk,205,stat_points,3,,10.1%,,,32,0,0,32,0,2
Stunfisk,205,stat_points,4,,9.4%,,,13,0,21,32,0,0
Stunfisk,205,stat_points,5,,4.2%,,,32,0,0,32,0,0
Stunfisk,205,stat_points,6,,4.0%,,,2,0,0,32,0,32
Stunfisk,205,stat_points,7,,3.3%,,,30,0,4,32,0,0
Stunfisk,205,stat_points,8,,3.3%,,,2,0,32,32,0,0
Stunfisk,205,stat_points,9,,2.5%,,,0,0,32,32,2,0
Stunfisk,205,stat_points,10,,2.4%,,,2,0,0,32,32,0
Stunfisk,205,stat_points,11,,2.4%,,,32,0,0,2,32,0
Stunfisk,205,ability,1,Static,66.8%,,,,,,,,
Stunfisk,205,ability,2,Sand Veil,17.6%,,,,,,,,
Stunfisk,205,ability,3,Limber,15.5%,,,,,,,,
