pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Sylveon,10,move,1,Hyper Voice,99.6%,,,,,,,,
Sylveon,10,move,2,Quick Attack,72.2%,,,,,,,,
Sylveon,10,move,3,Hyper Beam,66.8%,,,,,,,,
Sylveon,10,move,4,Detect,52.1%,,,,,,,,
Sylveon,10,move,5,Protect,42.3%,,,,,,,,
Sylveon,10,move,6,Moonblast,13.3%,,,,,,,,
Sylveon,10,move,7,Yawn,10.6%,,,,,,,,
Sylveon,10,move,8,Calm Mind,8.8%,,,,,,,,
Sylveon,10,move,9,Shadow Ball,8.2%,,,,,,,,
Sylveon,10,move,10,Mystical Fire,6.9%,,,,,,,,
Sylveon,10,held_item,1,Fairy Feather,85.3%,,,,,,,,
Sylveon,10,held_item,2,Life Orb,5.6%,,,,,,,,
Sylveon,10,held_item,3,Leftovers,2.6%,,,,,,,,
Sylveon,10,held_item,4,Sitrus Berry,2.2%,,,,,,,,
Sylveon,10,held_item,5,Quick Claw,1.3%,,,,,,,,
Sylveon,10,held_item,6,Choice Scarf,0.8%,,,,,,,,
Sylveon,10,held_item,7,Metronome,0.4%,,,,,,,,
Sylveon,10,held_item,8,Wise Glasses,0.3%,,,,,,,,
Sylveon,10,held_item,9,Focus Sash,0.3%,,,,,,,,
Sylveon,10,held_item,10,Babiri Berry,0.2%,,,,,,,,
Sylveon,10,teammate,1,Garchomp,,,,,,,,,
Sylveon,10,teammate,2,Kingambit,,,,,,,,,
Sylveon,10,teammate,3,Charizard,,,,,,,,,
Sylveon,10,teammate,4,Basculegion Male,,,,,,,,,
Sylveon,10,teammate,6,Whimsicott,,,,,,,,,
Sylveon,10,teammate,7,Sinistcha,,,,,,,,,
Sylveon,10,teammate,8,Farigiraf,,,,,,,,,
Sylveon,10,teammate,9,Incineroar,,,,,,,,,
Sylveon,10,teammate,10,Staraptor,,,,,,,,,
Sylveon,10,stat_alignment,1,Modest,81.8%,Sp. Atk,Attack,,,,,,
Sylveon,10,stat_alignment,2,Quiet,12.8%,Sp. Atk,Speed,,,,,,
Sylveon,10,stat_alignment,3,Timid,2.0%,Speed,Attack,,,,,,
Sylveon,10,stat_alignment,4,Bold,1.5%,Defense,Attack,,,,,,
Sylveon,10,stat_alignment,5,Mild,0.5%,Sp. Atk,Defense,,,,,,
Sylveon,10,stat_alignment,6,Calm,0.5%,Sp. Def,Attack,,,,,,
Sylveon,10,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Sylveon,10,stat_alignment,8,Hasty,0.1%,Speed,Defense,,,,,,
Sylveon,10,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Sylveon,10,stat_alignment,10,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Sylveon,10,stat_points,1,,12.5%,,,32,0,2,32,0,0
Sylveon,10,stat_points,2,,11.0%,,,32,0,0,32,0,2
Sylveon,10,stat_points,3,,5.8%,,,9,0,22,30,0,5
Sylveon,10,stat_points,4,,4.8%,,,9,0,22,20,0,15
Sylveon,10,stat_points,5,,4.2%,,,2,0,0,32,0,32
Sylveon,10,stat_points,6,,3.6%,,,32,0,0,32,2,0
Sylveon,10,stat_points,7,,3.1%,,,9,0,22,26,0,9
Sylveon,10,stat_points,8,,2.4%,,,9,0,22,25,0,10
Sylveon,10,stat_points,9,,2.3%,,,10,0,15,30,0,11
Sylveon,10,stat_points,10,,1.7%,,,2,0,32,32,0,0
Sylveon,10,stat_points,11,,1.4%,,,32,0,22,10,0,2
Sylveon,10,stat_points,12,,1.1%,,,0,0,2,32,0,32
Sylveon,10,ability,1,Pixilate,99.8%,,,,,,,,
Sylveon,10,ability,2,Cute Charm,0.2%,,,,,,,,
