pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Talonflame,34,move,1,Tailwind,96.8%,,,,,,,,
Talonflame,34,move,2,Flare Blitz,63.8%,,,,,,,,
Talonflame,34,move,3,Protect,62.2%,,,,,,,,
Talonflame,34,move,4,Brave Bird,47.4%,,,,,,,,
Talonflame,34,move,5,Dual Wingbeat,30.0%,,,,,,,,
Talonflame,34,move,6,Acrobatics,18.9%,,,,,,,,
Talonflame,34,move,7,Will-O-Wisp,14.3%,,,,,,,,
Talonflame,34,move,8,Quick Guard,13.6%,,,,,,,,
Talonflame,34,move,9,Taunt,10.7%,,,,,,,,
Talonflame,34,move,10,Upper Hand,8.8%,,,,,,,,
Talonflame,34,held_item,1,Sharp Beak,34.7%,,,,,,,,
Talonflame,34,held_item,2,Focus Sash,25.0%,,,,,,,,
Talonflame,34,held_item,3,Life Orb,8.7%,,,,,,,,
Talonflame,34,held_item,4,Sitrus Berry,1.7%,,,,,,,,
Talonflame,34,held_item,5,White Herb,1.7%,,,,,,,,
Talonflame,34,held_item,6,Expert Belt,1.7%,,,,,,,,
Talonflame,34,held_item,7,Leftovers,1.3%,,,,,,,,
Talonflame,34,held_item,8,Charcoal,1.3%,,,,,,,,
Talonflame,34,held_item,9,Mental Herb,1.2%,,,,,,,,
Talonflame,34,held_item,10,Charti Berry,1.1%,,,,,,,,
Talonflame,34,teammate,1,Garchomp,,,,,,,,,
Talonflame,34,teammate,2,Sneasler,,,,,,,,,
Talonflame,34,teammate,3,Basculegion Male,,,,,,,,,
Talonflame,34,teammate,4,Raichu,,,,,,,,,
Talonflame,34,teammate,5,Sinistcha,,,,,,,,,
Talonflame,34,teammate,6,Kingambit,,,,,,,,,
Talonflame,34,teammate,7,Metagross,,,,,,,,,
Talonflame,34,teammate,8,Alolan Ninetales,,,,,,,,,
Talonflame,34,teammate,9,Sylveon,,,,,,,,,
Talonflame,34,teammate,10,Rotom Wash,,,,,,,,,
Talonflame,34,stat_alignment,1,Jolly,66.2%,Speed,Sp. Atk,,,,,,
Talonflame,34,stat_alignment,2,Adamant,23.5%,Attack,Sp. Atk,,,,,,
Talonflame,34,stat_alignment,3,Naive,3.3%,Speed,Sp. Def,,,,,,
Talonflame,34,stat_alignment,4,Timid,2.1%,Speed,Attack,,,,,,
Talonflame,34,stat_alignment,5,Hasty,1.3%,Speed,Defense,,,,,,
Talonflame,34,stat_alignment,6,Modest,0.9%,Sp. Atk,Attack,,,,,,
Talonflame,34,stat_alignment,7,Naughty,0.8%,Attack,Sp. Def,,,,,,
Talonflame,34,stat_alignment,8,Lonely,0.7%,Attack,Defense,,,,,,
Talonflame,34,stat_alignment,9,Impish,0.4%,Defense,Sp. Atk,,,,,,
Talonflame,34,stat_alignment,10,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Talonflame,34,stat_points,1,,49.5%,,,2,32,0,0,0,32
Talonflame,34,stat_points,2,,7.0%,,,0,32,2,0,0,32
Talonflame,34,stat_points,3,,7.0%,,,0,32,0,0,2,32
Talonflame,34,stat_points,4,,3.9%,,,7,32,0,0,0,27
Talonflame,34,stat_points,5,,2.5%,,,0,32,0,0,0,32
Talonflame,34,stat_points,6,,1.8%,,,1,32,1,0,0,32
Talonflame,34,stat_points,7,,1.4%,,,0,27,0,21,0,18
Talonflame,34,stat_points,8,,1.4%,,,2,0,0,32,0,32
Talonflame,34,stat_points,9,,1.3%,,,0,32,1,0,1,32
Talonflame,34,stat_points,10,,1.2%,,,1,32,0,0,1,32
Talonflame,34,stat_points,11,,1.0%,,,11,32,0,0,0,23
Talonflame,34,stat_points,12,,0.9%,,,32,32,0,0,0,2
Talonflame,34,ability,1,Gale Wings,98.6%,,,,,,,,
Talonflame,34,ability,2,Flame Body,1.4%,,,,,,,,
