pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Torkoal,21,move,1,Eruption,89.3%,,,,,,,,
Torkoal,21,move,2,Protect,88.1%,,,,,,,,
Torkoal,21,move,3,Weather Ball,52.0%,,,,,,,,
Torkoal,21,move,4,Heat Wave,31.5%,,,,,,,,
Torkoal,21,move,5,Solar Beam,31.3%,,,,,,,,
Torkoal,21,move,6,Earth Power,30.8%,,,,,,,,
Torkoal,21,move,7,Helping Hand,17.0%,,,,,,,,
Torkoal,21,move,8,Yawn,9.0%,,,,,,,,
Torkoal,21,move,9,Ancient Power,6.2%,,,,,,,,
Torkoal,21,move,10,Burning Jealousy,5.8%,,,,,,,,
Torkoal,21,held_item,1,Charcoal,71.5%,,,,,,,,
Torkoal,21,held_item,2,Life Orb,8.3%,,,,,,,,
Torkoal,21,held_item,3,Heat Rock,7.5%,,,,,,,,
Torkoal,21,held_item,4,Leftovers,6.2%,,,,,,,,
Torkoal,21,held_item,5,Sitrus Berry,1.8%,,,,,,,,
Torkoal,21,held_item,6,Quick Claw,1.6%,,,,,,,,
Torkoal,21,held_item,7,Wise Glasses,0.6%,,,,,,,,
Torkoal,21,held_item,8,Shuca Berry,0.3%,,,,,,,,
Torkoal,21,held_item,9,Focus Sash,0.2%,,,,,,,,
Torkoal,21,held_item,10,Metronome,0.2%,,,,,,,,
Torkoal,21,teammate,1,Farigiraf,,,,,,,,,
Torkoal,21,teammate,2,Mawile,,,,,,,,,
Torkoal,21,teammate,3,Sylveon,,,,,,,,,
Torkoal,21,teammate,4,Staraptor,,,,,,,,,
Torkoal,21,teammate,5,Kingambit,,,,,,,,,
Torkoal,21,teammate,6,Incineroar,,,,,,,,,
Torkoal,21,teammate,7,Basculegion Male,,,,,,,,,
Torkoal,21,teammate,8,Sinistcha,,,,,,,,,
Torkoal,21,teammate,9,Kangaskhan,,,,,,,,,
Torkoal,21,teammate,10,Pyroar,,,,,,,,,
Torkoal,21,stat_alignment,1,Quiet,79.7%,Sp. Atk,Speed,,,,,,
Torkoal,21,stat_alignment,2,Modest,9.3%,Sp. Atk,Attack,,,,,,
Torkoal,21,stat_alignment,3,Relaxed,6.7%,Defense,Speed,,,,,,
Torkoal,21,stat_alignment,4,Bold,1.7%,Defense,Attack,,,,,,
Torkoal,21,stat_alignment,5,Sassy,1.0%,Sp. Def,Speed,,,,,,
Torkoal,21,stat_alignment,6,Calm,0.9%,Sp. Def,Attack,,,,,,
Torkoal,21,stat_alignment,7,Mild,0.2%,Sp. Atk,Defense,,,,,,
Torkoal,21,stat_alignment,8,Brave,0.1%,Attack,Speed,,,,,,
Torkoal,21,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Torkoal,21,stat_alignment,10,Serious,0.1%,,,,,,,,
Torkoal,21,stat_points,1,,41.4%,,,32,0,0,32,2,0
Torkoal,21,stat_points,2,,14.1%,,,32,0,1,32,1,0
Torkoal,21,stat_points,3,,13.8%,,,32,0,2,32,0,0
Torkoal,21,stat_points,4,,3.8%,,,31,0,1,15,19,0
Torkoal,21,stat_points,5,,2.1%,,,2,0,32,32,0,0
Torkoal,21,stat_points,6,,1.9%,,,2,0,0,32,32,0
Torkoal,21,stat_points,7,,1.7%,,,32,0,0,32,0,0
Torkoal,21,stat_points,8,,1.6%,,,0,0,32,32,2,0
Torkoal,21,stat_points,9,,1.5%,,,0,0,2,32,32,0
Torkoal,21,stat_points,10,,1.1%,,,32,0,0,2,32,0
Torkoal,21,stat_points,11,,1.0%,,,32,0,0,32,1,0
Torkoal,21,stat_points,12,,0.9%,,,14,0,0,32,20,0
Torkoal,21,ability,1,Drought,99.6%,,,,,,,,
Torkoal,21,ability,2,White Smoke,0.2%,,,,,,,,
Torkoal,21,ability,3,Shell Armor,0.2%,,,,,,,,
