pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toucannon,190,move,1,Rock Blast,89.5%,,,,,,,,
Toucannon,190,move,2,Bullet Seed,85.0%,,,,,,,,
Toucannon,190,move,3,Beak Blast,73.1%,,,,,,,,
Toucannon,190,move,4,Protect,59.8%,,,,,,,,
Toucannon,190,move,5,Tailwind,11.8%,,,,,,,,
Toucannon,190,move,6,Dual Wingbeat,10.5%,,,,,,,,
Toucannon,190,move,7,Roost,8.0%,,,,,,,,
Toucannon,190,move,8,Brave Bird,7.0%,,,,,,,,
Toucannon,190,move,9,U-turn,6.8%,,,,,,,,
Toucannon,190,move,10,Knock Off,5.5%,,,,,,,,
Toucannon,190,held_item,1,Focus Sash,15.9%,,,,,,,,
Toucannon,190,held_item,2,Sitrus Berry,15.5%,,,,,,,,
Toucannon,190,held_item,3,Life Orb,15.5%,,,,,,,,
Toucannon,190,held_item,4,King's Rock,14.9%,,,,,,,,
Toucannon,190,held_item,5,Muscle Band,6.7%,,,,,,,,
Toucannon,190,held_item,6,Expert Belt,5.7%,,,,,,,,
Toucannon,190,held_item,7,Sharp Beak,4.3%,,,,,,,,
Toucannon,190,held_item,8,Quick Claw,3.8%,,,,,,,,
Toucannon,190,held_item,9,Choice Scarf,2.9%,,,,,,,,
Toucannon,190,held_item,10,Leftovers,2.7%,,,,,,,,
Toucannon,190,teammate,1,Raichu,,,,,,,,,
Toucannon,190,teammate,2,Farigiraf,,,,,,,,,
Toucannon,190,teammate,3,Kingambit,,,,,,,,,
Toucannon,190,teammate,4,Whimsicott,,,,,,,,,
Toucannon,190,teammate,5,Sinistcha,,,,,,,,,
Toucannon,190,stat_points,5,,4.1%,,,0,32,32,0,2,0
Toucannon,190,stat_points,6,,4.0%,,,21,32,13,0,0,0
Toucannon,190,stat_points,7,,3.7%,,,32,32,1,0,1,0
Toucannon,190,stat_points,8,,3.0%,,,0,32,2,0,32,0
Toucannon,190,stat_points,9,,2.6%,,,2,32,32,0,0,0
Toucannon,190,stat_points,10,,1.7%,,,0,32,2,0,0,32
Toucannon,190,stat_points,11,,1.6%,,,0,32,0,0,2,32
Toucannon,190,stat_points,12,,1.5%,,,32,29,5,0,0,0
Toucannon,190,ability,1,Skill Link,94.3%,,,,,,,,
Toucannon,190,ability,2,Sheer Force,3.8%,,,,,,,,
Toucannon,190,ability,3,Keen Eye,1.9%,,,,,,,,
