pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Toxapex,72,move,1,Toxic,94.6%,,,,,,,,
Toxapex,72,move,2,Baneful Bunker,91.7%,,,,,,,,
Toxapex,72,move,3,Infestation,84.8%,,,,,,,,
Toxapex,72,move,4,Wide Guard,70.6%,,,,,,,,
Toxapex,72,move,5,Recover,24.8%,,,,,,,,
Toxapex,72,move,6,Haze,4.6%,,,,,,,,
Toxapex,72,move,7,Venoshock,3.0%,,,,,,,,
Toxapex,72,move,8,Protect,2.8%,,,,,,,,
Toxapex,72,move,9,Liquidation,2.7%,,,,,,,,
Toxapex,72,move,10,Toxic Spikes,2.6%,,,,,,,,
Toxapex,72,held_item,1,Leftovers,89.8%,,,,,,,,
Toxapex,72,held_item,2,Sitrus Berry,4.7%,,,,,,,,
Toxapex,72,held_item,3,Bright Powder,0.9%,,,,,,,,
Toxapex,72,held_item,4,Quick Claw,0.6%,,,,,,,,
Toxapex,72,held_item,5,Shuca Berry,0.6%,,,,,,,,
Toxapex,72,held_item,6,Mental Herb,0.5%,,,,,,,,
Toxapex,72,held_item,7,Mystic Water,0.5%,,,,,,,,
Toxapex,72,held_item,8,Wacan Berry,0.4%,,,,,,,,
Toxapex,72,held_item,9,Poison Barb,0.3%,,,,,,,,
Toxapex,72,held_item,10,Lum Berry,0.2%,,,,,,,,
Toxapex,72,teammate,1,Charizard,,,,,,,,,
Toxapex,72,teammate,2,Garchomp,,,,,,,,,
Toxapex,72,teammate,3,Incineroar,,,,,,,,,
Toxapex,72,teammate,4,Grimmsnarl,,,,,,,,,
Toxapex,72,teammate,5,Hydreigon,,,,,,,,,
Toxapex,72,teammate,6,Sinistcha,,,,,,,,,
Toxapex,72,teammate,7,Metagross,,,,,,,,,
Toxapex,72,teammate,8,Sneasler,,,,,,,,,
Toxapex,72,teammate,9,Whimsicott,,,,,,,,,
Toxapex,72,teammate,10,Staraptor,,,,,,,,,
Toxapex,72,stat_alignment,1,Bold,50.1%,Defense,Attack,,,,,,
Toxapex,72,stat_alignment,2,Calm,13.9%,Sp. Def,Attack,,,,,,
Toxapex,72,stat_alignment,3,Sassy,10.6%,Sp. Def,Speed,,,,,,
Toxapex,72,stat_alignment,4,Relaxed,9.5%,Defense,Speed,,,,,,
Toxapex,72,stat_alignment,5,Careful,6.3%,Sp. Def,Sp. Atk,,,,,,
Toxapex,72,stat_alignment,6,Impish,5.8%,Defense,Sp. Atk,,,,,,
Toxapex,72,stat_alignment,7,Modest,1.3%,Sp. Atk,Attack,,,,,,
Toxapex,72,stat_alignment,8,Brave,0.6%,Attack,Speed,,,,,,
Toxapex,72,stat_alignment,9,Quiet,0.5%,Sp. Atk,Speed,,,,,,
Toxapex,72,stat_alignment,10,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Toxapex,72,stat_points,1,,23.8%,,,32,0,18,0,16,0
Toxapex,72,stat_points,2,,12.4%,,,32,0,2,0,32,0
Toxapex,72,stat_points,3,,10.9%,,,32,0,32,0,2,0
Toxapex,72,stat_points,4,,7.2%,,,2,0,32,0,32,0
Toxapex,72,stat_points,5,,4.2%,,,32,0,16,0,18,0
Toxapex,72,stat_points,6,,3.7%,,,32,0,20,0,14,0
Toxapex,72,stat_points,7,,2.1%,,,32,0,8,0,26,0
Toxapex,72,stat_points,8,,1.7%,,,32,0,28,0,6,0
Toxapex,72,stat_points,9,,1.6%,,,32,0,17,0,17,0
Toxapex,72,stat_points,10,,1.5%,,,0,2,32,0,32,0
Toxapex,72,stat_points,11,,1.4%,,,32,0,6,0,28,0
Toxapex,72,stat_points,12,,1.2%,,,32,0,14,0,20,0
Toxapex,72,ability,1,Regenerator,93.0%,,,,,,,,
Toxapex,72,ability,2,Merciless,6.0%,,,,,,,,
Toxapex,72,ability,3,Limber,1.0%,,,,,,,,
