pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Trevenant,178,move,1,Protect,60.4%,,,,,,,,
Trevenant,178,move,2,Will-O-Wisp,47.6%,,,,,,,,
Trevenant,178,move,3,Horn Leech,47.5%,,,,,,,,
Trevenant,178,move,4,Trick Room,46.8%,,,,,,,,
Trevenant,178,move,5,Wood Hammer,40.3%,,,,,,,,
Trevenant,178,move,6,Ally Switch,36.4%,,,,,,,,
Trevenant,178,move,7,Poltergeist,28.2%,,,,,,,,
Trevenant,178,move,8,Leech Seed,14.8%,,,,,,,,
Trevenant,178,move,9,Phantom Force,8.4%,,,,,,,,
Trevenant,178,move,10,Sucker Punch,8.2%,,,,,,,,
Trevenant,178,held_item,1,Sitrus Berry,77.8%,,,,,,,,
Trevenant,178,held_item,2,Focus Sash,7.1%,,,,,,,,
Trevenant,178,held_item,3,Leftovers,3.9%,,,,,,,,
Trevenant,178,held_item,4,Big Root,2.0%,,,,,,,,
Trevenant,178,held_item,5,Occa Berry,1.4%,,,,,,,,
Trevenant,178,held_item,6,Kasib Berry,1.1%,,,,,,,,
Trevenant,178,held_item,7,Iron Ball,0.8%,,,,,,,,
Trevenant,178,held_item,8,Muscle Band,0.7%,,,,,,,,
Trevenant,178,held_item,9,Life Orb,0.7%,,,,,,,,
Trevenant,178,held_item,10,Mental Herb,0.6%,,,,,,,,
Trevenant,178,teammate,1,Tyranitar,,,,,,,,,
Trevenant,178,teammate,2,Staraptor,,,,,,,,,
Trevenant,178,teammate,3,Houndstone,,,,,,,,,
Trevenant,178,teammate,4,Excadrill,,,,,,,,,
Trevenant,178,teammate,5,Torkoal,,,,,,,,,
Trevenant,178,teammate,6,Krookodile,,,,,,,,,
Trevenant,178,teammate,7,Farigiraf,,,,,,,,,
Trevenant,178,teammate,8,Mawile,,,,,,,,,
Trevenant,178,teammate,9,Incineroar,,,,,,,,,
Trevenant,178,teammate,10,Kingambit,,,,,,,,,
Trevenant,178,stat_alignment,1,Careful,30.2%,Sp. Def,Sp. Atk,,,,,,
Trevenant,178,stat_alignment,2,Brave,22.7%,Attack,Speed,,,,,,
Trevenant,178,stat_alignment,3,Adamant,12.8%,Attack,Sp. Atk,,,,,,
Trevenant,178,stat_alignment,4,Sassy,12.0%,Sp. Def,Speed,,,,,,
Trevenant,178,stat_alignment,5,Relaxed,10.2%,Defense,Speed,,,,,,
Trevenant,178,stat_alignment,6,Impish,8.2%,Defense,Sp. Atk,,,,,,
Trevenant,178,stat_alignment,7,Naughty,1.2%,Attack,Sp. Def,,,,,,
Trevenant,178,stat_alignment,8,Jolly,1.0%,Speed,Sp. Atk,,,,,,
Trevenant,178,stat_alignment,9,Bold,0.7%,Defense,Attack,,,,,,
Trevenant,178,stat_alignment,10,Bashful,0.4%,,,,,,,,
Trevenant,178,stat_points,1,,24.1%,,,32,10,15,0,9,0
Trevenant,178,stat_points,2,,7.6%,,,32,32,2,0,0,0
Trevenant,178,stat_points,3,,6.2%,,,32,0,16,0,18,0
Trevenant,178,stat_points,4,,5.9%,,,32,32,0,0,2,0
Trevenant,178,stat_points,5,,3.3%,,,32,0,32,0,2,0
Trevenant,178,stat_points,6,,3.2%,,,30,0,22,0,14,0
Trevenant,178,stat_points,7,,1.9%,,,32,0,6,0,28,0
Trevenant,178,stat_points,8,,1.8%,,,32,0,14,0,20,0
Trevenant,178,stat_points,9,,1.8%,,,32,0,2,0,32,0
Trevenant,178,stat_points,10,,1.8%,,,32,32,0,0,0,2
Trevenant,178,stat_points,11,,1.7%,,,0,32,2,0,32,0
Trevenant,178,stat_points,12,,1.6%,,,32,0,15,0,19,0
Trevenant,178,ability,1,Harvest,81.3%,,,,,,,,
Trevenant,178,ability,2,Frisk,14.2%,,,,,,,,
Trevenant,178,ability,3,Natural Cure,4.5%,,,,,,,,
