pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tsareena,54,move,1,Triple Axel,88.7%,,,,,,,,
Tsareena,54,move,2,Trop Kick,64.6%,,,,,,,,
Tsareena,54,move,3,Protect,60.0%,,,,,,,,
Tsareena,54,move,4,Low Kick,39.2%,,,,,,,,
Tsareena,54,move,5,Power Whip,31.7%,,,,,,,,
Tsareena,54,move,6,High Jump Kick,27.3%,,,,,,,,
Tsareena,54,move,7,U-turn,21.5%,,,,,,,,
Tsareena,54,move,8,Knock Off,16.5%,,,,,,,,
Tsareena,54,move,9,Taunt,14.0%,,,,,,,,
Tsareena,54,move,10,Zen Headbutt,8.7%,,,,,,,,
Tsareena,54,held_item,1,Wide Lens,27.2%,,,,,,,,
Tsareena,54,held_item,2,Choice Scarf,17.9%,,,,,,,,
Tsareena,54,held_item,3,Sitrus Berry,13.6%,,,,,,,,
Tsareena,54,held_item,4,Focus Sash,8.9%,,,,,,,,
Tsareena,54,held_item,5,Life Orb,6.4%,,,,,,,,
Tsareena,54,held_item,6,Miracle Seed,4.5%,,,,,,,,
Tsareena,54,held_item,7,Expert Belt,3.8%,,,,,,,,
Tsareena,54,held_item,8,Quick Claw,2.9%,,,,,,,,
Tsareena,54,held_item,9,Occa Berry,2.7%,,,,,,,,
Tsareena,54,held_item,10,White Herb,1.8%,,,,,,,,
Tsareena,54,teammate,1,Whimsicott,,,,,,,,,
Tsareena,54,teammate,2,Raichu,,,,,,,,,
Tsareena,54,teammate,3,Garchomp,,,,,,,,,
Tsareena,54,teammate,4,Basculegion Male,,,,,,,,,
Tsareena,54,teammate,5,Pelipper,,,,,,,,,
Tsareena,54,teammate,6,Sneasler,,,,,,,,,
Tsareena,54,teammate,7,Kingambit,,,,,,,,,
Tsareena,54,teammate,8,Incineroar,,,,,,,,,
Tsareena,54,teammate,9,Aerodactyl,,,,,,,,,
Tsareena,54,teammate,10,Metagross,,,,,,,,,
Tsareena,54,stat_alignment,1,Adamant,58.0%,Attack,Sp. Atk,,,,,,
Tsareena,54,stat_alignment,2,Jolly,30.3%,Speed,Sp. Atk,,,,,,
Tsareena,54,stat_alignment,3,Brave,5.0%,Attack,Speed,,,,,,
Tsareena,54,stat_alignment,4,Impish,2.8%,Defense,Sp. Atk,,,,,,
Tsareena,54,stat_alignment,5,Careful,1.5%,Sp. Def,Sp. Atk,,,,,,
Tsareena,54,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Tsareena,54,stat_alignment,7,Lonely,0.3%,Attack,Defense,,,,,,
Tsareena,54,stat_alignment,8,Relaxed,0.3%,Defense,Speed,,,,,,
Tsareena,54,stat_alignment,9,Sassy,0.3%,Sp. Def,Speed,,,,,,
Tsareena,54,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Tsareena,54,stat_points,1,,29.8%,,,2,32,0,0,0,32
Tsareena,54,stat_points,2,,5.2%,,,32,32,2,0,0,0
Tsareena,54,stat_points,3,,4.1%,,,0,32,2,0,0,32
Tsareena,54,stat_points,4,,3.9%,,,32,32,0,0,2,0
Tsareena,54,stat_points,5,,3.6%,,,0,32,0,0,2,32
Tsareena,54,stat_points,6,,2.3%,,,32,32,0,0,0,2
Tsareena,54,stat_points,7,,1.7%,,,0,32,0,0,0,32
Tsareena,54,stat_points,8,,1.4%,,,32,32,1,0,1,0
Tsareena,54,stat_points,9,,1.2%,,,4,32,0,0,0,30
Tsareena,54,stat_points,10,,1.0%,,,14,32,0,0,0,20
Tsareena,54,stat_points,11,,1.0%,,,30,32,0,0,0,4
Tsareena,54,stat_points,12,,0.8%,,,0,32,32,0,2,0
Tsareena,54,ability,1,Queenly Majesty,99.2%,,,,,,,,
Tsareena,54,ability,2,Sweet Veil,0.4%,,,,,,,,
Tsareena,54,ability,3,Leaf Guard,0.4%,,,,,,,,
