pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Typhlosion,156,move,1,Eruption,94.3%,,,,,,,,
Typhlosion,156,move,2,Heat Wave,51.0%,,,,,,,,
Typhlosion,156,move,3,Shadow Ball,45.7%,,,,,,,,
Typhlosion,156,move,4,Scorching Sands,42.9%,,,,,,,,
Typhlosion,156,move,5,Protect,35.1%,,,,,,,,
Typhlosion,156,move,6,Flamethrower,24.8%,,,,,,,,
Typhlosion,156,move,7,Solar Beam,21.8%,,,,,,,,
Typhlosion,156,move,8,Burn Up,16.3%,,,,,,,,
Typhlosion,156,move,9,Focus Blast,12.1%,,,,,,,,
Typhlosion,156,move,10,Extrasensory,11.5%,,,,,,,,
Typhlosion,156,held_item,1,Choice Scarf,62.9%,,,,,,,,
Typhlosion,156,held_item,2,Charcoal,21.8%,,,,,,,,
Typhlosion,156,held_item,3,Life Orb,9.4%,,,,,,,,
Typhlosion,156,held_item,4,Focus Sash,2.0%,,,,,,,,
Typhlosion,156,held_item,5,Sitrus Berry,1.7%,,,,,,,,
Typhlosion,156,held_item,6,Quick Claw,1.4%,,,,,,,,
Typhlosion,156,held_item,7,Wise Glasses,1.2%,,,,,,,,
Typhlosion,156,held_item,8,Muscle Band,0.8%,,,,,,,,
Typhlosion,156,held_item,9,Lum Berry,0.6%,,,,,,,,
Typhlosion,156,held_item,10,Leftovers,0.4%,,,,,,,,
Typhlosion,156,teammate,1,Whimsicott,,,,,,,,,
Typhlosion,156,teammate,2,Garchomp,,,,,,,,,
Typhlosion,156,teammate,3,Staraptor,,,,,,,,,
Typhlosion,156,teammate,4,Basculegion Male,,,,,,,,,
Typhlosion,156,teammate,5,Farigiraf,,,,,,,,,
Typhlosion,156,teammate,6,Charizard,,,,,,,,,
Typhlosion,156,teammate,7,Raichu,,,,,,,,,
Typhlosion,156,teammate,8,Sylveon,,,,,,,,,
Typhlosion,156,teammate,9,Sinistcha,,,,,,,,,
Typhlosion,156,teammate,10,Gholdengo,,,,,,,,,
Typhlosion,156,stat_alignment,1,Modest,65.5%,Sp. Atk,Attack,,,,,,
Typhlosion,156,stat_alignment,2,Timid,28.0%,Speed,Attack,,,,,,
Typhlosion,156,stat_alignment,3,Quiet,1.1%,Sp. Atk,Speed,,,,,,
Typhlosion,156,stat_alignment,4,Adamant,1.1%,Attack,Sp. Atk,,,,,,
Typhlosion,156,stat_alignment,5,Mild,1.0%,Sp. Atk,Defense,,,,,,
Typhlosion,156,stat_alignment,6,Bold,0.8%,Defense,Attack,,,,,,
Typhlosion,156,stat_alignment,7,Calm,0.7%,Sp. Def,Attack,,,,,,
Typhlosion,156,stat_alignment,8,Naive,0.6%,Speed,Sp. Def,,,,,,
Typhlosion,156,stat_alignment,9,Relaxed,0.4%,Defense,Speed,,,,,,
Typhlosion,156,stat_alignment,10,Hasty,0.3%,Speed,Defense,,,,,,
Typhlosion,156,stat_points,1,,50.1%,,,2,0,0,32,0,32
Typhlosion,156,stat_points,2,,14.6%,,,0,0,2,32,0,32
Typhlosion,156,stat_points,3,,7.8%,,,0,0,0,32,2,32
Typhlosion,156,stat_points,4,,7.6%,,,0,0,1,32,1,32
Typhlosion,156,stat_points,5,,2.5%,,,0,0,0,32,0,32
Typhlosion,156,stat_points,6,,2.2%,,,32,0,0,32,0,2
Typhlosion,156,stat_points,7,,1.1%,,,32,0,2,32,0,0
Typhlosion,156,stat_points,8,,1.1%,,,32,0,0,32,2,0
Typhlosion,156,stat_points,9,,0.8%,,,0,0,12,32,1,21
Typhlosion,156,stat_points,10,,0.8%,,,1,0,0,32,0,32
Typhlosion,156,stat_points,11,,0.8%,,,5,20,12,0,13,16
Typhlosion,156,stat_points,12,,0.6%,,,0,0,32,32,2,0
Typhlosion,156,ability,1,Flash Fire,88.4%,,,,,,,,
Typhlosion,156,ability,2,Blaze,11.6%,,,,,,,,
