pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tyranitar,27,move,1,Rock Slide,94.6%,,,,,,,,
Tyranitar,27,move,2,Knock Off,85.3%,,,,,,,,
Tyranitar,27,move,3,Protect,85.0%,,,,,,,,
Tyranitar,27,move,4,Low Kick,30.7%,,,,,,,,
Tyranitar,27,move,5,Rain Dance,25.1%,,,,,,,,
Tyranitar,27,move,6,Ice Punch,20.4%,,,,,,,,
Tyranitar,27,move,7,Earthquake,9.8%,,,,,,,,
Tyranitar,27,move,8,Crunch,8.3%,,,,,,,,
Tyranitar,27,move,9,High Horsepower,7.9%,,,,,,,,
Tyranitar,27,move,10,Stone Edge,4.5%,,,,,,,,
Tyranitar,27,held_item,1,Tyranitarite,65.2%,,,,,,,,
Tyranitar,27,held_item,2,Chople Berry,7.8%,,,,,,,,
Tyranitar,27,held_item,3,Choice Scarf,6.0%,,,,,,,,
Tyranitar,27,held_item,4,Focus Sash,3.8%,,,,,,,,
Tyranitar,27,held_item,5,Life Orb,3.6%,,,,,,,,
Tyranitar,27,held_item,6,Leftovers,3.2%,,,,,,,,
Tyranitar,27,held_item,7,Sitrus Berry,2.9%,,,,,,,,
Tyranitar,27,held_item,8,Smooth Rock,1.4%,,,,,,,,
Tyranitar,27,held_item,9,Quick Claw,0.8%,,,,,,,,
Tyranitar,27,held_item,10,Lum Berry,0.5%,,,,,,,,
Tyranitar,27,teammate,1,Sinistcha,,,,,,,,,
Tyranitar,27,teammate,2,Excadrill,,,,,,,,,
Tyranitar,27,teammate,3,Incineroar,,,,,,,,,
Tyranitar,27,teammate,4,Garchomp,,,,,,,,,
Tyranitar,27,teammate,5,Whimsicott,,,,,,,,,
Tyranitar,27,teammate,6,Sylveon,,,,,,,,,
Tyranitar,27,teammate,7,Sneasler,,,,,,,,,
Tyranitar,27,teammate,8,Farigiraf,,,,,,,,,
Tyranitar,27,teammate,9,Staraptor,,,,,,,,,
Tyranitar,27,teammate,10,Corviknight,,,,,,,,,
Tyranitar,27,stat_alignment,1,Adamant,57.8%,Attack,Sp. Atk,,,,,,
Tyranitar,27,stat_alignment,2,Jolly,23.2%,Speed,Sp. Atk,,,,,,
Tyranitar,27,stat_alignment,3,Brave,10.5%,Attack,Speed,,,,,,
Tyranitar,27,stat_alignment,4,Impish,3.1%,Defense,Sp. Atk,,,,,,
Tyranitar,27,stat_alignment,5,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Tyranitar,27,stat_alignment,6,Relaxed,0.9%,Defense,Speed,,,,,,
Tyranitar,27,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,
Tyranitar,27,stat_alignment,8,Naughty,0.3%,Attack,Sp. Def,,,,,,
Tyranitar,27,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Tyranitar,27,stat_alignment,10,Lonely,0.2%,Attack,Defense,,,,,,
Tyranitar,27,stat_points,1,,23.9%,,,2,32,0,0,0,32
Tyranitar,27,stat_points,2,,9.3%,,,32,32,0,0,2,0
Tyranitar,27,stat_points,3,,7.6%,,,32,32,2,0,0,0
Tyranitar,27,stat_points,4,,3.4%,,,32,32,0,0,0,2
Tyranitar,27,stat_points,5,,2.0%,,,2,32,32,0,0,0
Tyranitar,27,stat_points,6,,2.0%,,,27,26,1,0,0,12
Tyranitar,27,stat_points,7,,1.5%,,,30,16,1,0,2,17
Tyranitar,27,stat_points,8,,1.5%,,,32,32,0,0,0,0
Tyranitar,27,stat_points,9,,1.4%,,,0,32,1,0,1,32
Tyranitar,27,stat_points,10,,1.2%,,,0,32,0,0,2,32
Tyranitar,27,stat_points,11,,1.1%,,,0,32,2,0,0,32
Tyranitar,27,stat_points,12,,1.0%,,,0,32,32,0,2,0
Tyranitar,27,ability,1,Sand Stream,98.9%,,,,,,,,
Tyranitar,27,ability,2,Unnerve,1.1%,,,,,,,,
