pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Tyrantrum,194,move,1,Head Smash,54.5%,,,,,,,,
Tyrantrum,194,move,2,Rock Slide,49.0%,,,,,,,,
Tyrantrum,194,move,3,Psychic Fangs,38.7%,,,,,,,,
Tyrantrum,194,move,4,Ice Fang,37.6%,,,,,,,,
Tyrantrum,194,move,5,Protect,35.4%,,,,,,,,
Tyrantrum,194,move,6,Dragon Claw,25.9%,,,,,,,,
Tyrantrum,194,move,7,Crunch,25.1%,,,,,,,,
Tyrantrum,194,move,8,Close Combat,19.4%,,,,,,,,
Tyrantrum,194,move,9,Earthquake,18.9%,,,,,,,,
Tyrantrum,194,move,10,Thunder Fang,14.1%,,,,,,,,
Tyrantrum,194,held_item,1,Choice Scarf,34.4%,,,,,,,,
Tyrantrum,194,held_item,2,Life Orb,20.9%,,,,,,,,
Tyrantrum,194,held_item,3,Focus Sash,7.6%,,,,,,,,
Tyrantrum,194,held_item,4,Expert Belt,4.6%,,,,,,,,
Tyrantrum,194,held_item,5,Quick Claw,4.2%,,,,,,,,
Tyrantrum,194,held_item,6,Chople Berry,4.0%,,,,,,,,
Tyrantrum,194,held_item,7,Wide Lens,3.5%,,,,,,,,
Tyrantrum,194,held_item,8,Sitrus Berry,2.6%,,,,,,,,
Tyrantrum,194,held_item,9,Muscle Band,2.2%,,,,,,,,
Tyrantrum,194,held_item,10,Iron Ball,2.1%,,,,,,,,
Tyrantrum,194,teammate,1,Farigiraf,,,,,,,,,
Tyrantrum,194,teammate,2,Sinistcha,,,,,,,,,
Tyrantrum,194,teammate,3,Whimsicott,,,,,,,,,
Tyrantrum,194,teammate,4,Raichu,,,,,,,,,
Tyrantrum,194,teammate,5,Sylveon,,,,,,,,,
Tyrantrum,194,teammate,6,Tyranitar,,,,,,,,,
Tyrantrum,194,teammate,7,Charizard,,,,,,,,,
Tyrantrum,194,teammate,8,Gholdengo,,,,,,,,,
Tyrantrum,194,teammate,9,Swampert,,,,,,,,,
Tyrantrum,194,teammate,10,Sneasler,,,,,,,,,
Tyrantrum,194,stat_alignment,1,Jolly,33.9%,Speed,Sp. Atk,,,,,,
Tyrantrum,194,stat_alignment,2,Adamant,33.8%,Attack,Sp. Atk,,,,,,
Tyrantrum,194,stat_alignment,3,Brave,25.9%,Attack,Speed,,,,,,
Tyrantrum,194,stat_alignment,4,Careful,1.9%,Sp. Def,Sp. Atk,,,,,,
Tyrantrum,194,stat_alignment,5,Sassy,1.7%,Sp. Def,Speed,,,,,,
Tyrantrum,194,stat_alignment,6,Impish,0.8%,Defense,Sp. Atk,,,,,,
Tyrantrum,194,stat_alignment,7,Relaxed,0.7%,Defense,Speed,,,,,,
Tyrantrum,194,stat_alignment,8,Lonely,0.6%,Attack,Defense,,,,,,
Tyrantrum,194,stat_alignment,9,Naughty,0.4%,Attack,Sp. Def,,,,,,
Tyrantrum,194,stat_alignment,10,Lax,0.1%,Defense,Sp. Def,,,,,,
Tyrantrum,194,stat_points,1,,31.3%,,,2,32,0,0,0,32
Tyrantrum,194,stat_points,2,,8.0%,,,32,32,0,0,2,0
Tyrantrum,194,stat_points,3,,7.1%,,,32,32,2,0,0,0
Tyrantrum,194,stat_points,4,,5.8%,,,0,32,0,0,2,32
Tyrantrum,194,stat_points,5,,5.7%,,,0,32,2,0,32,0
Tyrantrum,194,stat_points,6,,5.0%,,,0,32,2,0,0,32
Tyrantrum,194,stat_points,7,,2.2%,,,14,27,0,0,0,25
Tyrantrum,194,stat_points,8,,2.1%,,,9,32,0,0,0,25
Tyrantrum,194,stat_points,9,,2.1%,,,32,32,1,0,1,0
Tyrantrum,194,stat_points,10,,1.9%,,,2,32,0,0,32,0
Tyrantrum,194,stat_points,11,,1.8%,,,2,32,32,0,0,0
Tyrantrum,194,stat_points,12,,1.7%,,,4,26,2,1,1,32
Tyrantrum,194,ability,1,Strong Jaw,52.2%,,,,,,,,
Tyrantrum,194,ability,2,Rock Head,47.9%,,,,,,,,
