pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Umbreon,127,move,1,Foul Play,82.1%,,,,,,,,
Umbreon,127,move,2,Snarl,45.3%,,,,,,,,
Umbreon,127,move,3,Moonlight,43.6%,,,,,,,,
Umbreon,127,move,4,Protect,40.5%,,,,,,,,
Umbreon,127,move,5,Toxic,33.5%,,,,,,,,
Umbreon,127,move,6,Yawn,29.9%,,,,,,,,
Umbreon,127,move,7,Taunt,17.1%,,,,,,,,
Umbreon,127,move,8,Wish,16.1%,,,,,,,,
Umbreon,127,move,9,Detect,14.2%,,,,,,,,
Umbreon,127,move,10,Helping Hand,12.3%,,,,,,,,
Umbreon,127,held_item,1,Leftovers,66.3%,,,,,,,,
Umbreon,127,held_item,2,Sitrus Berry,16.8%,,,,,,,,
Umbreon,127,held_item,3,Chople Berry,5.6%,,,,,,,,
Umbreon,127,held_item,4,Light Clay,2.6%,,,,,,,,
Umbreon,127,held_item,5,Black Glasses,1.9%,,,,,,,,
Umbreon,127,held_item,6,Roseli Berry,1.3%,,,,,,,,
Umbreon,127,held_item,7,Bright Powder,1.1%,,,,,,,,
Umbreon,127,held_item,8,Quick Claw,1.0%,,,,,,,,
Umbreon,127,held_item,9,Lum Berry,1.0%,,,,,,,,
Umbreon,127,held_item,10,Focus Sash,0.6%,,,,,,,,
Umbreon,127,teammate,1,Whimsicott,,,,,,,,,
Umbreon,127,teammate,2,Garchomp,,,,,,,,,
Umbreon,127,teammate,3,Charizard,,,,,,,,,
Umbreon,127,teammate,4,Sylveon,,,,,,,,,
Umbreon,127,teammate,5,Sinistcha,,,,,,,,,
Umbreon,127,teammate,6,Raichu,,,,,,,,,
Umbreon,127,teammate,7,Sneasler,,,,,,,,,
Umbreon,127,teammate,8,Metagross,,,,,,,,,
Umbreon,127,teammate,9,Milotic,,,,,,,,,
Umbreon,127,teammate,10,Incineroar,,,,,,,,,
Umbreon,127,stat_alignment,1,Bold,40.0%,Defense,Attack,,,,,,
Umbreon,127,stat_alignment,2,Calm,18.1%,Sp. Def,Attack,,,,,,
Umbreon,127,stat_alignment,3,Impish,13.8%,Defense,Sp. Atk,,,,,,
Umbreon,127,stat_alignment,4,Careful,8.4%,Sp. Def,Sp. Atk,,,,,,
Umbreon,127,stat_alignment,5,Relaxed,8.0%,Defense,Speed,,,,,,
Umbreon,127,stat_alignment,6,Sassy,3.2%,Sp. Def,Speed,,,,,,
Umbreon,127,stat_alignment,7,Timid,1.3%,Speed,Attack,,,,,,
Umbreon,127,stat_alignment,8,Adamant,1.2%,Attack,Sp. Atk,,,,,,
Umbreon,127,stat_alignment,9,Jolly,0.9%,Speed,Sp. Atk,,,,,,
Umbreon,127,stat_alignment,10,Brave,0.7%,Attack,Speed,,,,,,
Umbreon,127,stat_points,1,,22.4%,,,32,0,32,0,2,0
Umbreon,127,stat_points,2,,9.0%,,,32,0,20,0,14,0
Umbreon,127,stat_points,3,,8.8%,,,32,0,2,0,32,0
Umbreon,127,stat_points,4,,4.2%,,,2,0,32,0,32,0
Umbreon,127,stat_points,5,,2.2%,,,32,0,24,0,10,0
Umbreon,127,stat_points,6,,2.1%,,,32,0,30,0,4,0
Umbreon,127,stat_points,7,,1.9%,,,32,0,32,0,0,0
Umbreon,127,stat_points,8,,1.8%,,,32,0,32,0,0,2
Umbreon,127,stat_points,9,,1.3%,,,32,0,2,0,0,32
Umbreon,127,stat_points,10,,1.3%,,,32,0,17,0,17,0
Umbreon,127,stat_points,11,,1.2%,,,32,0,32,0,1,0
Umbreon,127,stat_points,12,,1.1%,,,30,0,20,0,16,0
Umbreon,127,ability,1,Inner Focus,80.5%,,,,,,,,
Umbreon,127,ability,2,Synchronize,19.5%,,,,,,,,
