pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Venusaur,24,move,1,Sludge Bomb,94.1%,,,,,,,,
Venusaur,24,move,2,Protect,80.8%,,,,,,,,
Venusaur,24,move,3,Earth Power,68.0%,,,,,,,,
Venusaur,24,move,4,Giga Drain,55.7%,,,,,,,,
Venusaur,24,move,5,Sleep Powder,43.9%,,,,,,,,
Venusaur,24,move,6,Energy Ball,19.8%,,,,,,,,
Venusaur,24,move,7,Solar Beam,9.7%,,,,,,,,
Venusaur,24,move,8,Leaf Storm,8.8%,,,,,,,,
Venusaur,24,move,9,Weather Ball,5.1%,,,,,,,,
Venusaur,24,move,10,Leech Seed,4.8%,,,,,,,,
Venusaur,24,held_item,1,Venusaurite,38.3%,,,,,,,,
Venusaur,24,held_item,2,Focus Sash,19.5%,,,,,,,,
Venusaur,24,held_item,3,Life Orb,14.0%,,,,,,,,
Venusaur,24,held_item,4,Wide Lens,8.0%,,,,,,,,
Venusaur,24,held_item,5,Leftovers,5.9%,,,,,,,,
Venusaur,24,held_item,6,Sitrus Berry,4.8%,,,,,,,,
Venusaur,24,held_item,7,Miracle Seed,2.0%,,,,,,,,
Venusaur,24,held_item,8,Occa Berry,1.6%,,,,,,,,
Venusaur,24,held_item,9,Coba Berry,1.0%,,,,,,,,
Venusaur,24,held_item,10,Big Root,0.8%,,,,,,,,
Venusaur,24,teammate,1,Charizard,,,,,,,,,
Venusaur,24,teammate,2,Garchomp,,,,,,,,,
Venusaur,24,teammate,3,Basculegion Male,,,,,,,,,
Venusaur,24,teammate,4,Incineroar,,,,,,,,,
Venusaur,24,teammate,5,Whimsicott,,,,,,,,,
Venusaur,24,teammate,6,Archaludon,,,,,,,,,
Venusaur,24,teammate,7,Pelipper,,,,,,,,,
Venusaur,24,teammate,8,Farigiraf,,,,,,,,,
Venusaur,24,teammate,9,Torkoal,,,,,,,,,
Venusaur,24,teammate,10,Sylveon,,,,,,,,,
Venusaur,24,stat_alignment,1,Modest,71.9%,Sp. Atk,Attack,,,,,,
Venusaur,24,stat_alignment,2,Timid,14.2%,Speed,Attack,,,,,,
Venusaur,24,stat_alignment,3,Bold,7.4%,Defense,Attack,,,,,,
Venusaur,24,stat_alignment,4,Calm,3.3%,Sp. Def,Attack,,,,,,
Venusaur,24,stat_alignment,5,Quiet,1.4%,Sp. Atk,Speed,,,,,,
Venusaur,24,stat_alignment,6,Mild,0.6%,Sp. Atk,Defense,,,,,,
Venusaur,24,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Venusaur,24,stat_alignment,8,Hasty,0.2%,Speed,Defense,,,,,,
Venusaur,24,stat_alignment,9,Sassy,0.2%,Sp. Def,Speed,,,,,,
Venusaur,24,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Venusaur,24,stat_points,1,,30.9%,,,2,0,0,32,0,32
Venusaur,24,stat_points,2,,3.7%,,,32,0,19,0,12,3
Venusaur,24,stat_points,3,,3.5%,,,32,0,7,18,0,9
Venusaur,24,stat_points,4,,3.4%,,,0,0,2,32,0,32
Venusaur,24,stat_points,5,,3.4%,,,0,0,0,32,2,32
Venusaur,24,stat_points,6,,3.0%,,,20,0,0,31,0,15
Venusaur,24,stat_points,7,,2.9%,,,32,0,2,32,0,0
Venusaur,24,stat_points,8,,2.7%,,,32,0,0,32,0,2
Venusaur,24,stat_points,9,,2.4%,,,32,0,1,14,0,19
Venusaur,24,stat_points,10,,1.7%,,,32,0,0,32,2,0
Venusaur,24,stat_points,11,,1.6%,,,0,0,0,32,0,32
Venusaur,24,stat_points,12,,1.2%,,,32,0,8,18,0,8
Venusaur,24,ability,1,Chlorophyll,94.1%,,,,,,,,
Venusaur,24,ability,2,Overgrow,5.9%,,,,,,,,
