pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Vivillon Fancy Pattern,68,move,1,Sleep Powder,97.5%,,,,,,,,
Vivillon Fancy Pattern,68,move,2,Hurricane,80.0%,,,,,,,,
Vivillon Fancy Pattern,68,move,3,Rage Powder,68.8%,,,,,,,,
Vivillon Fancy Pattern,68,move,4,Tailwind,41.8%,,,,,,,,
Vivillon Fancy Pattern,68,move,5,Pollen Puff,37.4%,,,,,,,,
Vivillon Fancy Pattern,68,move,6,Protect,29.4%,,,,,,,,
Vivillon Fancy Pattern,68,move,7,Rain Dance,17.3%,,,,,,,,
Vivillon Fancy Pattern,68,move,8,Bug Buzz,4.9%,,,,,,,,
Vivillon Fancy Pattern,68,move,9,U-turn,3.5%,,,,,,,,
Vivillon Fancy Pattern,68,move,10,Quiver Dance,3.1%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,1,Focus Sash,55.5%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,2,Choice Scarf,40.8%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,3,Wide Lens,0.8%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,4,Leftovers,0.6%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,5,Quick Claw,0.6%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,6,Sitrus Berry,0.4%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,7,Bright Powder,0.2%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,8,Charti Berry,0.2%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,9,Occa Berry,0.1%,,,,,,,,
Vivillon Fancy Pattern,68,held_item,10,Mental Herb,0.1%,,,,,,,,
Vivillon Fancy Pattern,68,teammate,1,Farigiraf,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,2,Torkoal,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,3,Kangaskhan,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,4,Blastoise,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,5,Basculegion Male,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,6,Staraptor,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,7,Mawile,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,8,Incineroar,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,9,Sinistcha,,,,,,,,,
Vivillon Fancy Pattern,68,teammate,10,Garchomp,,,,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,1,Timid,93.3%,Speed,Attack,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,2,Modest,2.7%,Sp. Atk,Attack,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,3,Hasty,1.3%,Speed,Defense,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,4,Bold,0.7%,Defense,Attack,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,5,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,6,Mild,0.4%,Sp. Atk,Defense,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,7,Calm,0.3%,Sp. Def,Attack,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,8,Quiet,0.3%,Sp. Atk,Speed,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Vivillon Fancy Pattern,68,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Vivillon Fancy Pattern,68,stat_points,1,,41.0%,,,2,0,0,32,0,32
Vivillon Fancy Pattern,68,stat_points,2,,16.0%,,,0,0,24,5,5,32
Vivillon Fancy Pattern,68,stat_points,3,,5.6%,,,0,0,2,32,0,32
Vivillon Fancy Pattern,68,stat_points,4,,4.0%,,,0,0,0,32,2,32
Vivillon Fancy Pattern,68,stat_points,5,,3.5%,,,0,0,24,0,10,32
Vivillon Fancy Pattern,68,stat_points,6,,3.4%,,,0,0,1,32,1,32
Vivillon Fancy Pattern,68,stat_points,7,,2.8%,,,32,0,2,0,0,32
Vivillon Fancy Pattern,68,stat_points,8,,2.8%,,,32,0,0,2,0,32
Vivillon Fancy Pattern,68,stat_points,9,,2.6%,,,0,0,0,32,0,32
Vivillon Fancy Pattern,68,stat_points,10,,2.3%,,,32,0,0,0,2,32
Vivillon Fancy Pattern,68,stat_points,11,,1.3%,,,32,0,0,0,0,32
Vivillon Fancy Pattern,68,stat_points,12,,1.2%,,,32,0,1,0,1,32
Vivillon Fancy Pattern,68,ability,1,Compound Eyes,95.4%,,,,,,,,
Vivillon Fancy Pattern,68,ability,2,Friend Guard,3.6%,,,,,,,,
Vivillon Fancy Pattern,68,ability,3,Shield Dust,1.0%,,,,,,,,
