pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Weavile,84,move,1,Fake Out,90.9%,,,,,,,,
Weavile,84,move,2,Knock Off,73.8%,,,,,,,,
Weavile,84,move,3,Triple Axel,59.7%,,,,,,,,
Weavile,84,move,4,Protect,26.3%,,,,,,,,
Weavile,84,move,5,Ice Shard,17.6%,,,,,,,,
Weavile,84,move,6,Low Kick,16.6%,,,,,,,,
Weavile,84,move,7,Icicle Crash,16.4%,,,,,,,,
Weavile,84,move,8,Ice Spinner,14.3%,,,,,,,,
Weavile,84,move,9,Throat Chop,11.3%,,,,,,,,
Weavile,84,move,10,Brick Break,10.6%,,,,,,,,
Weavile,84,held_item,1,Focus Sash,61.9%,,,,,,,,
Weavile,84,held_item,2,Wide Lens,9.0%,,,,,,,,
Weavile,84,held_item,3,Life Orb,6.7%,,,,,,,,
Weavile,84,held_item,4,King's Rock,4.1%,,,,,,,,
Weavile,84,held_item,5,Never-Melt Ice,3.2%,,,,,,,,
Weavile,84,held_item,6,White Herb,3.1%,,,,,,,,
Weavile,84,held_item,7,Expert Belt,2.1%,,,,,,,,
Weavile,84,held_item,8,Choice Scarf,1.0%,,,,,,,,
Weavile,84,held_item,9,Muscle Band,1.0%,,,,,,,,
Weavile,84,held_item,10,Chople Berry,1.0%,,,,,,,,
Weavile,84,teammate,1,Whimsicott,,,,,,,,,
Weavile,84,teammate,2,Garchomp,,,,,,,,,
Weavile,84,teammate,3,Raichu,,,,,,,,,
Weavile,84,teammate,4,Basculegion Male,,,,,,,,,
Weavile,84,teammate,5,Sinistcha,,,,,,,,,
Weavile,84,teammate,6,Charizard,,,,,,,,,
Weavile,84,teammate,7,Staraptor,,,,,,,,,
Weavile,84,teammate,8,Kingambit,,,,,,,,,
Weavile,84,teammate,9,Incineroar,,,,,,,,,
Weavile,84,teammate,10,Pelipper,,,,,,,,,
Weavile,84,stat_alignment,1,Jolly,80.3%,Speed,Sp. Atk,,,,,,
Weavile,84,stat_alignment,2,Adamant,14.6%,Attack,Sp. Atk,,,,,,
Weavile,84,stat_alignment,3,Naive,1.7%,Speed,Sp. Def,,,,,,
Weavile,84,stat_alignment,4,Hasty,1.1%,Speed,Defense,,,,,,
Weavile,84,stat_alignment,5,Lonely,0.6%,Attack,Defense,,,,,,
Weavile,84,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Weavile,84,stat_alignment,7,Brave,0.3%,Attack,Speed,,,,,,
Weavile,84,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Weavile,84,stat_alignment,9,Timid,0.2%,Speed,Attack,,,,,,
Weavile,84,stat_alignment,10,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Weavile,84,stat_points,1,,52.8%,,,2,32,0,0,0,32
Weavile,84,stat_points,2,,13.9%,,,0,32,2,0,0,32
Weavile,84,stat_points,3,,11.9%,,,0,32,0,0,2,32
Weavile,84,stat_points,4,,4.0%,,,0,32,0,0,0,32
Weavile,84,stat_points,5,,2.9%,,,1,32,1,0,0,32
Weavile,84,stat_points,6,,2.0%,,,6,32,0,0,0,28
Weavile,84,stat_points,7,,1.8%,,,1,32,0,0,0,32
Weavile,84,stat_points,8,,0.6%,,,0,32,1,0,0,32
Weavile,84,stat_points,9,,0.6%,,,0,32,0,0,1,32
Weavile,84,stat_points,10,,0.4%,,,32,2,0,0,0,32
Weavile,84,stat_points,11,,0.4%,,,1,32,0,0,1,32
Weavile,84,stat_points,12,,0.4%,,,0,32,1,0,1,32
Weavile,84,ability,1,Pickpocket,53.8%,,,,,,,,
Weavile,84,ability,2,Pressure,46.2%,,,,,,,,
