pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Wyrdeer,123,move,1,Trick Room,71.5%,,,,,,,,
Wyrdeer,123,move,2,Skill Swap,68.0%,,,,,,,,
Wyrdeer,123,move,3,Psyshield Bash,31.7%,,,,,,,,
Wyrdeer,123,move,4,Protect,30.2%,,,,,,,,
Wyrdeer,123,move,5,Hypnosis,26.0%,,,,,,,,
Wyrdeer,123,move,6,Gravity,23.4%,,,,,,,,
Wyrdeer,123,move,7,Psychic,22.1%,,,,,,,,
Wyrdeer,123,move,8,Helping Hand,15.6%,,,,,,,,
Wyrdeer,123,move,9,Earth Power,10.3%,,,,,,,,
Wyrdeer,123,move,10,Light Screen,6.8%,,,,,,,,
Wyrdeer,123,held_item,1,Colbur Berry,29.7%,,,,,,,,
Wyrdeer,123,held_item,2,Sitrus Berry,29.5%,,,,,,,,
Wyrdeer,123,held_item,3,Mental Herb,14.9%,,,,,,,,
Wyrdeer,123,held_item,4,Leftovers,9.6%,,,,,,,,
Wyrdeer,123,held_item,5,Focus Sash,2.5%,,,,,,,,
Wyrdeer,123,held_item,6,Light Clay,2.5%,,,,,,,,
Wyrdeer,123,held_item,7,Wide Lens,1.5%,,,,,,,,
Wyrdeer,123,held_item,8,Twisted Spoon,1.4%,,,,,,,,
Wyrdeer,123,held_item,9,Quick Claw,1.3%,,,,,,,,
Wyrdeer,123,held_item,10,Choice Scarf,1.3%,,,,,,,,
Wyrdeer,123,teammate,1,Milotic,,,,,,,,,
Wyrdeer,123,teammate,2,Sinistcha,,,,,,,,,
Wyrdeer,123,teammate,3,Kingambit,,,,,,,,,
Wyrdeer,123,teammate,4,Staraptor,,,,,,,,,
Wyrdeer,123,teammate,5,Garchomp,,,,,,,,,
Wyrdeer,123,teammate,6,Ceruledge,,,,,,,,,
Wyrdeer,123,teammate,7,Raichu,,,,,,,,,
Wyrdeer,123,teammate,8,Annihilape,,,,,,,,,
Wyrdeer,123,teammate,9,Metagross,,,,,,,,,
Wyrdeer,123,teammate,10,Whimsicott,,,,,,,,,
Wyrdeer,123,stat_alignment,1,Adamant,21.7%,Attack,Sp. Atk,,,,,,
Wyrdeer,123,stat_alignment,2,Relaxed,16.8%,Defense,Speed,,,,,,
Wyrdeer,123,stat_alignment,3,Sassy,10.3%,Sp. Def,Speed,,,,,,
Wyrdeer,123,stat_alignment,4,Modest,8.5%,Sp. Atk,Attack,,,,,,
Wyrdeer,123,stat_alignment,5,Careful,7.7%,Sp. Def,Sp. Atk,,,,,,
Wyrdeer,123,stat_alignment,6,Calm,7.2%,Sp. Def,Attack,,,,,,
Wyrdeer,123,stat_alignment,7,Impish,6.8%,Defense,Sp. Atk,,,,,,
Wyrdeer,123,stat_alignment,8,Bold,5.4%,Defense,Attack,,,,,,
Wyrdeer,123,stat_alignment,9,Brave,5.0%,Attack,Speed,,,,,,
Wyrdeer,123,stat_alignment,10,Jolly,2.9%,Speed,Sp. Atk,,,,,,
Wyrdeer,123,stat_points,1,,10.0%,,,29,1,8,0,21,7
Wyrdeer,123,stat_points,2,,5.7%,,,32,0,2,0,32,0
Wyrdeer,123,stat_points,3,,4.9%,,,22,0,22,0,0,22
Wyrdeer,123,stat_points,4,,4.2%,,,32,0,18,0,16,0
Wyrdeer,123,stat_points,5,,3.6%,,,32,0,28,0,6,0
Wyrdeer,123,stat_points,6,,2.4%,,,32,0,19,0,15,0
Wyrdeer,123,stat_points,7,,2.2%,,,28,2,8,0,21,7
Wyrdeer,123,stat_points,8,,2.0%,,,32,0,32,0,2,0
Wyrdeer,123,stat_points,9,,1.9%,,,32,32,2,0,0,0
Wyrdeer,123,stat_points,10,,1.7%,,,2,0,32,0,32,0
Wyrdeer,123,stat_points,11,,1.7%,,,32,32,0,0,2,0
Wyrdeer,123,ability,1,Intimidate,95.5%,,,,,,,,
Wyrdeer,123,ability,2,Sap Sipper,3.9%,,,,,,,,
Wyrdeer,123,ability,3,Frisk,0.6%,,,,,,,,
