pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Zoroark,202,move,1,Night Daze,70.5%,,,,,,,,
Zoroark,202,move,2,Sludge Bomb,48.7%,,,,,,,,
Zoroark,202,move,3,Flamethrower,38.5%,,,,,,,,
Zoroark,202,move,4,Protect,37.3%,,,,,,,,
Zoroark,202,move,5,Psychic,20.4%,,,,,,,,
Zoroark,202,move,6,Sucker Punch,16.1%,,,,,,,,
Zoroark,202,move,7,Dark Pulse,16.1%,,,,,,,,
Zoroark,202,move,8,Focus Blast,13.9%,,,,,,,,
Zoroark,202,move,9,U-turn,13.5%,,,,,,,,
Zoroark,202,move,10,Taunt,13.4%,,,,,,,,
Zoroark,202,held_item,1,Focus Sash,37.5%,,,,,,,,
Zoroark,202,held_item,2,Choice Scarf,16.2%,,,,,,,,
Zoroark,202,held_item,3,Life Orb,12.3%,,,,,,,,
Zoroark,202,held_item,4,Black Glasses,10.3%,,,,,,,,
Zoroark,202,held_item,5,Sitrus Berry,8.0%,,,,,,,,
Zoroark,202,held_item,6,Quick Claw,2.7%,,,,,,,,
Zoroark,202,held_item,7,Expert Belt,2.4%,,,,,,,,
Zoroark,202,held_item,8,Bright Powder,1.7%,,,,,,,,
Zoroark,202,held_item,9,Chople Berry,1.3%,,,,,,,,
Zoroark,202,held_item,10,Wise Glasses,1.2%,,,,,,,,
Zoroark,202,teammate,1,Whimsicott,,,,,,,,,
Zoroark,202,teammate,2,Staraptor,,,,,,,,,
Zoroark,202,teammate,3,Farigiraf,,,,,,,,,
Zoroark,202,teammate,4,Sneasler,,,,,,,,,
Zoroark,202,teammate,5,Dragonite,,,,,,,,,
Zoroark,202,teammate,6,Basculegion Male,,,,,,,,,
Zoroark,202,teammate,7,Sylveon,,,,,,,,,
Zoroark,202,teammate,8,Garchomp,,,,,,,,,
Zoroark,202,teammate,9,Charizard,,,,,,,,,
Zoroark,202,teammate,10,Raichu,,,,,,,,,
Zoroark,202,stat_alignment,1,Modest,46.5%,Sp. Atk,Attack,,,,,,
Zoroark,202,stat_alignment,2,Timid,32.6%,Speed,Attack,,,,,,
Zoroark,202,stat_alignment,3,Sassy,4.8%,Sp. Def,Speed,,,,,,
Zoroark,202,stat_alignment,4,Hasty,3.3%,Speed,Defense,,,,,,
Zoroark,202,stat_alignment,5,Quiet,2.6%,Sp. Atk,Speed,,,,,,
Zoroark,202,stat_alignment,6,Brave,2.5%,Attack,Speed,,,,,,
Zoroark,202,stat_alignment,7,Jolly,2.5%,Speed,Sp. Atk,,,,,,
Zoroark,202,stat_alignment,8,Mild,1.7%,Sp. Atk,Defense,,,,,,
Zoroark,202,stat_alignment,9,Bold,0.6%,Defense,Attack,,,,,,
Zoroark,202,stat_alignment,10,Adamant,0.6%,Attack,Sp. Atk,,,,,,
Zoroark,202,stat_points,1,,45.2%,,,2,0,0,32,0,32
Zoroark,202,stat_points,2,,14.7%,,,0,0,2,32,0,32
Zoroark,202,stat_points,3,,9.6%,,,0,0,0,32,2,32
Zoroark,202,stat_points,4,,4.7%,,,5,21,8,9,8,15
Zoroark,202,stat_points,5,,3.7%,,,0,0,0,32,0,32
Zoroark,202,stat_points,6,,2.5%,,,0,32,17,0,17,0
Zoroark,202,stat_points,7,,1.9%,,,32,0,0,0,2,32
Zoroark,202,stat_points,8,,1.7%,,,0,0,2,32,32,0
Zoroark,202,stat_points,9,,1.3%,,,0,32,2,0,0,32
Zoroark,202,stat_points,10,,1.3%,,,8,0,0,32,0,26
Zoroark,202,stat_points,11,,1.3%,,,28,0,0,32,0,6
Zoroark,202,stat_points,12,,1.0%,,,0,0,0,32,32,2
Zoroark,202,ability,1,Illusion,100.0%,,,,,,,,
